Native,ebpfjit (unchecked),ebpfjit (virtual memory),Wasmtime (Cranelift),ebpfjit (simple checks)
8,9,8,9,137
9,9,8,9,139
9,9,8,9,141
9,9,8,9,142
9,9,8,9,144
9,9,8,9,147
9,9,9,9,148
9,9,9,9,149
9,9,9,9,150
9,9,9,9,150
9,9,10,9,150
9,9,10,9,151
9,9,10,9,151
9,9,10,9,151
9,9,11,9,151
9,9,11,9,152
9,9,11,9,152
9,9,12,9,152
9,9,12,9,153
9,9,12,9,153
9,9,13,9,153
9,9,13,9,154
9,9,13,9,154
9,9,14,9,154
9,9,14,9,154
9,9,14,9,154
9,9,15,9,155
9,9,15,9,155
9,9,15,9,156
9,9,16,9,156
9,9,16,9,156
9,9,16,9,157
9,9,17,10,157
10,9,17,10,157
10,9,17,11,157
10,9,18,11,158
11,9,18,12,158
11,9,19,12,158
12,9,19,13,159
12,9,19,13,159
12,9,20,13,159
13,9,20,14,160
13,9,20,14,160
13,9,21,15,160
14,9,21,15,161
14,9,22,16,161
14,9,22,16,161
15,9,23,16,162
15,9,23,17,162
15,9,23,17,162
16,9,24,18,163
16,9,24,18,163
16,9,25,19,163
17,9,25,19,164
17,9,25,20,164
17,9,26,20,164
18,9,26,21,165
18,10,27,21,165
18,10,27,22,165
19,10,28,22,166
19,10,28,23,166
20,10,28,23,166
20,10,29,24,166
21,10,29,24,167
21,11,30,25,167
21,11,30,25,167
22,11,31,26,168
22,11,31,27,168
22,11,32,27,168
23,11,32,28,169
23,12,32,28,169
24,12,33,29,169
24,12,33,30,170
24,12,34,31,170
25,12,34,31,170
25,12,35,32,171
26,13,35,33,171
26,13,36,33,171
27,13,36,34,172
27,13,37,34,172
27,13,37,35,172
28,14,38,37,173
28,14,39,37,173
29,14,39,38,173
29,14,40,38,174
30,14,40,39,174
30,15,41,40,174
30,15,41,40,175
31,15,42,41,175
31,15,42,42,175
32,15,43,43,176
32,15,43,44,176
33,16,44,44,176
33,16,44,45,177
33,16,45,47,177
34,16,45,48,177
34,17,46,48,177
34,17,46,49,178
35,17,47,50,178
36,17,47,51,178
36,18,48,52,179
36,18,49,52,179
37,18,49,53,179
37,18,50,54,180
38,19,50,55,180
38,19,51,56,180
39,19,51,56,181
39,19,52,57,181
40,19,53,57,181
40,20,53,58,182
40,20,54,59,182
41,20,54,60,182
41,20,55,61,183
42,21,56,62,183
42,21,56,62,183
43,21,57,63,184
43,21,57,64,184
44,22,58,65,184
44,22,59,66,185
45,22,59,67,185
45,22,60,68,185
46,23,61,68,185
46,23,61,69,186
47,23,62,71,186
47,23,62,71,186
48,24,63,72,187
48,24,64,73,187
49,24,64,74,187
49,24,65,75,188
50,24,65,76,188
50,25,65,77,188
51,25,66,78,189
51,25,67,79,189
52,26,67,80,189
53,26,68,81,190
53,26,69,82,190
53,26,70,83,190
54,26,70,84,191
55,27,71,85,191
55,27,71,86,191
56,27,72,87,191
56,27,73,88,192
57,28,74,89,192
57,28,74,90,192
58,28,75,91,193
59,28,76,92,193
59,29,78,93,193
60,29,78,94,194
60,29,79,95,194
61,29,80,96,194
61,30,80,97,195
62,30,80,98,195
63,30,81,100,195
64,31,81,101,196
64,31,81,102,196
65,31,81,102,196
65,31,81,102,197
66,32,81,105,197
67,32,82,106,197
67,32,82,106,198
68,32,82,106,198
68,33,82,106,198
69,33,82,106,199
69,33,82,107,199
70,34,83,107,199
71,34,83,107,200
71,34,83,107,200
71,35,83,108,200
71,35,83,108,201
71,35,83,108,201
71,35,84,108,201
71,36,84,109,202
71,36,84,109,202
71,36,84,109,202
72,37,84,109,203
72,37,84,110,203
72,37,84,110,203
72,37,85,110,203
72,38,85,110,204
72,38,85,110,204
72,38,85,111,204
72,39,85,111,205
72,39,86,111,205
72,39,86,111,205
73,40,86,111,206
73,40,86,112,206
73,40,86,112,206
73,40,86,112,207
73,41,86,112,207
73,41,87,112,207
73,41,87,113,208
73,42,87,113,208
73,42,87,113,208
73,42,87,113,209
73,43,87,114,209
73,43,88,114,209
73,43,88,114,210
74,44,88,115,210
74,44,88,115,210
74,44,88,115,211
74,44,88,115,211
74,45,89,115,211
74,45,89,116,212
74,45,89,116,212
74,46,89,116,212
75,46,89,116,213
75,46,89,117,213
75,47,90,117,213
75,47,90,117,214
75,47,90,117,214
75,48,90,117,214
75,48,90,118,215
75,48,90,118,215
75,49,91,118,215
75,49,91,118,216
76,50,91,119,216
76,50,91,119,216
76,51,91,119,217
76,51,91,119,217
76,51,92,120,217
76,51,92,120,218
76,52,92,120,218
76,52,92,120,218
76,53,92,120,219
77,53,92,121,219
77,53,93,121,219
77,53,93,121,219
77,54,93,122,220
77,54,93,122,220
77,54,93,122,220
77,54,93,122,221
77,54,94,122,221
77,54,94,123,221
77,54,94,123,222
78,54,94,123,222
78,54,94,123,222
78,54,94,124,223
78,54,95,124,223
78,54,95,124,223
78,54,95,124,224
78,54,95,125,224
78,55,95,125,224
78,55,96,125,225
78,55,96,125,225
79,55,96,125,225
79,55,96,126,226
79,55,96,126,226
79,55,96,126,226
79,55,97,126,227
79,55,97,127,227
79,55,97,127,228
79,55,97,127,229
80,55,97,127,230
80,56,97,128,230
80,56,98,128,230
80,56,98,128,231
80,56,98,128,231
80,56,98,129,231
80,56,98,129,232
80,56,98,129,232
80,56,98,129,232
80,56,99,130,233
81,56,99,130,233
81,57,99,130,233
81,57,99,130,234
81,57,99,131,234
81,57,100,131,234
81,57,100,131,235
81,57,100,131,235
81,57,101,131,235
81,57,101,132,236
81,57,101,132,236
81,58,101,132,236
82,58,101,132,237
82,58,102,133,237
82,58,102,133,237
82,58,102,133,238
82,58,102,133,238
82,58,102,134,238
82,58,102,134,239
82,58,103,134,239
82,58,103,135,239
82,59,103,135,240
83,59,103,135,240
83,59,103,135,240
83,59,103,136,241
83,59,103,136,241
83,59,104,136,241
83,59,104,136,242
83,59,104,137,242
83,59,104,137,242
83,59,105,137,243
84,60,105,137,243
84,60,105,138,243
84,60,106,138,244
84,60,106,138,244
84,60,106,138,244
84,60,106,138,245
84,60,106,139,245
84,60,106,139,245
84,60,107,139,246
84,60,107,140,246
84,60,107,140,246
85,60,107,140,247
85,61,107,140,247
85,61,108,141,247
85,61,108,141,248
85,61,108,141,248
85,61,108,141,248
85,61,108,142,249
85,61,108,142,249
85,61,109,142,249
85,61,109,143,250
86,62,109,144,250
86,62,109,144,250
86,62,109,144,251
86,62,109,144,251
86,62,110,145,251
86,62,110,145,252
86,62,110,145,252
86,62,110,145,252
86,62,110,146,253
87,62,110,146,253
87,62,111,146,253
87,63,111,146,254
87,63,111,147,254
88,63,111,147,254
88,63,111,147,255
88,63,111,147,255
88,63,111,147,255
88,63,112,148,256
88,63,112,148,256
88,63,112,148,256
88,63,112,148,257
89,64,112,149,257
89,64,112,149,257
89,64,113,149,258
89,64,114,149,258
89,64,114,150,258
89,64,114,150,259
89,64,114,150,259
89,64,114,150,259
89,64,114,150,260
90,64,115,151,260
90,65,115,152,260
90,65,115,152,261
90,65,115,152,261
90,65,115,153,261
90,65,115,153,262
90,65,116,153,262
90,65,116,154,262
90,65,116,154,262
90,65,116,154,263
91,65,116,154,263
91,66,116,154,263
91,66,117,155,264
91,66,117,155,264
91,66,117,155,265
91,66,117,156,265
91,66,117,156,265
91,66,117,156,266
91,66,117,156,266
92,66,118,157,267
92,66,118,157,267
92,66,118,157,267
92,67,118,157,268
92,67,118,159,268
92,67,119,159,268
92,67,119,159,268
92,67,119,160,269
92,67,119,160,269
93,67,119,160,269
93,67,120,160,270
93,67,120,161,270
93,67,120,161,270
