Percentage served,Time in ms
0,96.587
1,111.660
2,117.186
3,123.671
4,129.273
5,134.871
6,140.544
7,145.923
8,151.402
9,157.138
10,163.211
11,170.610
12,176.315
13,182.124
14,187.808
15,193.632
16,199.611
17,205.532
18,211.432
19,218.449
20,236.917
21,238.773
22,241.360
23,241.721
24,241.999
25,242.143
26,242.307
27,242.494
28,242.626
29,242.846
30,242.987
31,243.119
32,243.218
33,243.397
34,243.491
35,243.660
36,243.836
37,244.107
38,245.456
39,245.962
40,246.655
41,247.259
42,247.726
43,248.513
44,248.879
45,249.349
46,249.379
47,249.402
48,249.435
49,249.468
50,249.558
51,249.623
52,249.714
53,249.773
54,249.840
55,249.883
56,249.912
57,249.990
58,250.024
59,250.083
60,250.159
61,250.285
62,250.537
63,250.689
64,250.975
65,251.222
66,251.360
67,251.391
68,251.431
69,251.467
70,251.689
71,251.844
72,252.203
73,252.290
74,252.753
75,253.050
76,253.189
77,253.203
78,253.247
79,253.415
80,253.481
81,358.318
82,381.086
83,389.349
84,408.805
85,423.745
86,518.603
87,554.714
88,582.391
89,610.979
90,639.685
91,653.865
92,673.529
93,803.084
94,840.468
95,856.357
96,876.717
97,883.400
98,903.348
99,949.795
100,1108.890
