starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 16 13:50:48 2024	1718545848	9	111	119	111
Sun Jun 16 13:50:48 2024	1718545848	9	111	120	111
Sun Jun 16 13:50:48 2024	1718545848	9	111	120	111
Sun Jun 16 13:50:48 2024	1718545848	9	111	120	111
Sun Jun 16 13:50:48 2024	1718545848	9	111	120	111
Sun Jun 16 13:50:48 2024	1718545848	9	112	121	112
Sun Jun 16 13:50:48 2024	1718545848	9	112	121	112
Sun Jun 16 13:50:48 2024	1718545848	9	112	121	112
Sun Jun 16 13:50:48 2024	1718545848	9	112	121	112
Sun Jun 16 13:50:48 2024	1718545848	9	112	122	112
Sun Jun 16 13:50:48 2024	1718545848	9	113	122	113
Sun Jun 16 13:50:48 2024	1718545848	9	113	122	113
Sun Jun 16 13:50:48 2024	1718545848	9	113	122	113
Sun Jun 16 13:50:48 2024	1718545848	9	113	123	113
Sun Jun 16 13:50:48 2024	1718545848	10	113	123	113
Sun Jun 16 13:50:48 2024	1718545848	10	114	123	114
Sun Jun 16 13:50:48 2024	1718545848	10	114	124	114
Sun Jun 16 13:50:48 2024	1718545848	10	114	124	114
Sun Jun 16 13:50:48 2024	1718545848	10	114	124	114
Sun Jun 16 13:50:48 2024	1718545848	10	114	124	114
Sun Jun 16 13:50:48 2024	1718545848	10	115	124	115
Sun Jun 16 13:50:48 2024	1718545848	10	115	125	115
Sun Jun 16 13:50:48 2024	1718545848	10	115	125	115
Sun Jun 16 13:50:48 2024	1718545848	10	115	125	115
Sun Jun 16 13:50:48 2024	1718545848	11	115	125	115
Sun Jun 16 13:50:48 2024	1718545848	11	115	126	115
Sun Jun 16 13:50:48 2024	1718545848	11	115	126	115
Sun Jun 16 13:50:48 2024	1718545848	11	115	126	115
Sun Jun 16 13:50:48 2024	1718545848	11	116	127	116
Sun Jun 16 13:50:48 2024	1718545848	11	116	127	116
Sun Jun 16 13:50:48 2024	1718545848	11	116	127	116
Sun Jun 16 13:50:48 2024	1718545848	11	116	127	116
Sun Jun 16 13:50:48 2024	1718545848	12	116	127	116
Sun Jun 16 13:50:48 2024	1718545848	12	116	128	116
Sun Jun 16 13:50:48 2024	1718545848	12	116	128	116
Sun Jun 16 13:50:48 2024	1718545848	12	117	128	117
Sun Jun 16 13:50:48 2024	1718545848	12	117	128	117
Sun Jun 16 13:50:48 2024	1718545848	12	117	129	117
Sun Jun 16 13:50:48 2024	1718545848	12	117	129	117
Sun Jun 16 13:50:48 2024	1718545848	12	117	129	117
Sun Jun 16 13:50:48 2024	1718545848	13	117	129	117
Sun Jun 16 13:50:48 2024	1718545848	13	117	130	117
Sun Jun 16 13:50:48 2024	1718545848	13	117	130	117
Sun Jun 16 13:50:48 2024	1718545848	13	117	130	117
Sun Jun 16 13:50:48 2024	1718545848	13	118	130	118
Sun Jun 16 13:50:48 2024	1718545848	13	118	131	118
Sun Jun 16 13:50:48 2024	1718545848	13	118	131	118
Sun Jun 16 13:50:48 2024	1718545848	13	118	131	118
Sun Jun 16 13:50:48 2024	1718545848	14	118	131	118
Sun Jun 16 13:50:48 2024	1718545848	14	118	132	118
Sun Jun 16 13:50:48 2024	1718545848	14	118	132	118
Sun Jun 16 13:50:48 2024	1718545848	14	118	132	118
Sun Jun 16 13:50:48 2024	1718545848	14	119	132	119
Sun Jun 16 13:50:48 2024	1718545848	14	119	133	119
Sun Jun 16 13:50:48 2024	1718545848	14	119	133	119
Sun Jun 16 13:50:48 2024	1718545848	14	119	133	119
Sun Jun 16 13:50:48 2024	1718545848	15	119	133	119
Sun Jun 16 13:50:48 2024	1718545848	15	119	134	119
Sun Jun 16 13:50:48 2024	1718545848	15	119	134	119
Sun Jun 16 13:50:48 2024	1718545848	15	119	134	119
Sun Jun 16 13:50:48 2024	1718545848	15	120	134	120
Sun Jun 16 13:50:48 2024	1718545848	15	120	135	120
Sun Jun 16 13:50:48 2024	1718545848	15	120	135	120
Sun Jun 16 13:50:48 2024	1718545848	15	120	135	120
Sun Jun 16 13:50:48 2024	1718545848	16	120	135	120
Sun Jun 16 13:50:48 2024	1718545848	16	120	136	120
Sun Jun 16 13:50:48 2024	1718545848	16	120	136	120
Sun Jun 16 13:50:48 2024	1718545848	16	120	136	120
Sun Jun 16 13:50:48 2024	1718545848	92	45	136	37
Sun Jun 16 13:50:48 2024	1718545848	16	120	136	120
Sun Jun 16 13:50:48 2024	1718545848	16	121	137	121
Sun Jun 16 13:50:48 2024	1718545848	16	121	137	121
Sun Jun 16 13:50:48 2024	1718545848	16	121	137	121
Sun Jun 16 13:50:48 2024	1718545848	17	121	137	121
Sun Jun 16 13:50:48 2024	1718545848	17	121	138	121
Sun Jun 16 13:50:48 2024	1718545848	17	121	138	121
Sun Jun 16 13:50:48 2024	1718545848	17	121	138	121
Sun Jun 16 13:50:48 2024	1718545848	17	121	138	121
Sun Jun 16 13:50:48 2024	1718545848	17	122	139	122
Sun Jun 16 13:50:48 2024	1718545848	17	122	139	122
Sun Jun 16 13:50:48 2024	1718545848	17	122	139	122
Sun Jun 16 13:50:48 2024	1718545848	18	121	139	121
Sun Jun 16 13:50:48 2024	1718545848	18	122	140	122
Sun Jun 16 13:50:48 2024	1718545848	18	122	140	122
Sun Jun 16 13:50:48 2024	1718545848	18	122	140	122
Sun Jun 16 13:50:48 2024	1718545848	18	122	140	122
Sun Jun 16 13:50:48 2024	1718545848	18	122	141	122
Sun Jun 16 13:50:48 2024	1718545848	18	123	141	123
Sun Jun 16 13:50:48 2024	1718545848	18	123	141	123
Sun Jun 16 13:50:48 2024	1718545848	19	122	141	122
Sun Jun 16 13:50:48 2024	1718545848	19	123	142	123
Sun Jun 16 13:50:48 2024	1718545848	19	123	142	123
Sun Jun 16 13:50:48 2024	1718545848	19	123	142	123
Sun Jun 16 13:50:48 2024	1718545848	19	123	142	123
Sun Jun 16 13:50:48 2024	1718545848	19	123	143	123
Sun Jun 16 13:50:48 2024	1718545848	19	123	143	123
Sun Jun 16 13:50:48 2024	1718545848	20	124	143	124
Sun Jun 16 13:50:48 2024	1718545848	20	123	143	123
Sun Jun 16 13:50:48 2024	1718545848	20	123	144	123
Sun Jun 16 13:50:48 2024	1718545848	20	124	144	124
Sun Jun 16 13:50:48 2024	1718545848	20	124	144	124
Sun Jun 16 13:50:48 2024	1718545848	21	124	144	124
Sun Jun 16 13:50:48 2024	1718545848	21	124	145	124
Sun Jun 16 13:50:48 2024	1718545848	21	124	145	124
Sun Jun 16 13:50:48 2024	1718545848	21	124	145	124
Sun Jun 16 13:50:48 2024	1718545848	21	124	145	124
Sun Jun 16 13:50:48 2024	1718545848	22	124	146	124
Sun Jun 16 13:50:48 2024	1718545848	22	124	146	124
