Percentage served,Time in ms
0,9.119
1,14.771
2,21.640
3,29.223
4,37.148
5,45.840
6,51.762
7,53.770
8,56.004
9,58.749
10,61.420
11,64.133
12,66.769
13,69.407
14,71.972
15,73.652
16,74.560
17,75.591
18,76.512
19,77.411
20,78.289
21,79.240
22,79.973
23,80.906
24,81.789
25,82.632
26,83.930
27,84.826
28,85.683
29,86.494
30,87.748
31,89.374
32,90.326
33,91.293
34,92.196
35,93.460
36,93.504
37,94.146
38,94.176
39,94.249
40,94.533
41,94.884
42,94.905
43,94.927
44,95.649
45,95.796
46,96.005
47,96.284
48,96.329
49,96.364
50,96.422
51,96.455
52,96.508
53,96.594
54,96.638
55,96.683
56,96.728
57,96.822
58,96.842
59,96.881
60,96.928
61,96.983
62,97.318
63,97.647
64,97.706
65,97.722
66,97.746
67,97.767
68,97.779
69,97.802
70,97.819
71,97.834
72,97.868
73,98.020
74,98.165
75,98.246
76,98.296
77,98.337
78,98.379
79,98.640
80,98.836
81,99.014
82,99.075
83,99.116
84,99.144
85,99.174
86,99.325
87,99.511
88,99.548
89,99.600
90,99.697
91,99.874
92,100.003
93,100.238
94,100.364
95,272.410
96,285.822
97,298.543
98,308.341
99,318.694
100,349.448
