starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 15 20:04:52 2024	1718481892	6	13	19	13
Sat Jun 15 20:04:52 2024	1718481892	6	13	19	13
Sat Jun 15 20:04:52 2024	1718481892	6	14	19	14
Sat Jun 15 20:04:52 2024	1718481892	6	14	20	14
Sat Jun 15 20:04:52 2024	1718481892	6	14	20	14
Sat Jun 15 20:04:52 2024	1718481892	6	14	20	14
Sat Jun 15 20:04:52 2024	1718481892	6	15	20	15
Sat Jun 15 20:04:52 2024	1718481892	6	15	21	15
Sat Jun 15 20:04:52 2024	1718481892	6	15	21	15
Sat Jun 15 20:04:52 2024	1718481892	6	15	21	15
Sat Jun 15 20:04:52 2024	1718481892	6	16	21	16
Sat Jun 15 20:04:52 2024	1718481892	6	16	22	16
Sat Jun 15 20:04:52 2024	1718481892	6	16	22	16
Sat Jun 15 20:04:52 2024	1718481892	6	16	22	16
Sat Jun 15 20:04:52 2024	1718481892	6	17	22	17
Sat Jun 15 20:04:52 2024	1718481892	6	17	23	17
Sat Jun 15 20:04:52 2024	1718481892	6	17	23	17
Sat Jun 15 20:04:52 2024	1718481892	6	17	23	17
Sat Jun 15 20:04:52 2024	1718481892	6	18	23	18
Sat Jun 15 20:04:52 2024	1718481892	6	18	24	18
Sat Jun 15 20:04:52 2024	1718481892	6	18	24	18
Sat Jun 15 20:04:52 2024	1718481892	6	18	24	18
Sat Jun 15 20:04:52 2024	1718481892	6	19	24	19
Sat Jun 15 20:04:52 2024	1718481892	6	19	25	19
Sat Jun 15 20:04:52 2024	1718481892	6	19	25	19
Sat Jun 15 20:04:52 2024	1718481892	6	19	25	19
Sat Jun 15 20:04:52 2024	1718481892	6	20	25	20
Sat Jun 15 20:04:52 2024	1718481892	6	20	25	20
Sat Jun 15 20:04:52 2024	1718481892	6	20	26	20
Sat Jun 15 20:04:52 2024	1718481892	6	20	26	20
Sat Jun 15 20:04:52 2024	1718481892	6	20	26	20
Sat Jun 15 20:04:52 2024	1718481892	6	21	26	21
Sat Jun 15 20:04:52 2024	1718481892	6	21	27	21
Sat Jun 15 20:04:52 2024	1718481892	6	21	27	21
Sat Jun 15 20:04:52 2024	1718481892	6	21	27	21
Sat Jun 15 20:04:52 2024	1718481892	6	22	27	22
Sat Jun 15 20:04:52 2024	1718481892	6	22	28	22
Sat Jun 15 20:04:52 2024	1718481892	6	22	28	22
Sat Jun 15 20:04:52 2024	1718481892	6	23	28	22
Sat Jun 15 20:04:52 2024	1718481892	6	23	28	23
Sat Jun 15 20:04:52 2024	1718481892	6	23	29	23
Sat Jun 15 20:04:52 2024	1718481892	6	23	29	23
Sat Jun 15 20:04:52 2024	1718481892	6	24	29	24
Sat Jun 15 20:04:52 2024	1718481892	6	24	29	24
Sat Jun 15 20:04:52 2024	1718481892	6	24	30	24
Sat Jun 15 20:04:52 2024	1718481892	6	24	30	24
Sat Jun 15 20:04:52 2024	1718481892	6	25	30	25
Sat Jun 15 20:04:52 2024	1718481892	6	25	30	25
Sat Jun 15 20:04:52 2024	1718481892	6	25	31	25
Sat Jun 15 20:04:52 2024	1718481892	6	25	31	25
Sat Jun 15 20:04:52 2024	1718481892	6	26	31	26
Sat Jun 15 20:04:52 2024	1718481892	6	26	32	26
Sat Jun 15 20:04:52 2024	1718481892	6	26	32	26
Sat Jun 15 20:04:52 2024	1718481892	6	27	32	27
Sat Jun 15 20:04:52 2024	1718481892	6	27	33	27
Sat Jun 15 20:04:52 2024	1718481892	6	27	33	27
Sat Jun 15 20:04:52 2024	1718481892	6	28	33	28
Sat Jun 15 20:04:52 2024	1718481892	17	16	33	10
Sat Jun 15 20:04:52 2024	1718481892	6	28	33	28
Sat Jun 15 20:04:52 2024	1718481892	6	28	34	28
Sat Jun 15 20:04:52 2024	1718481892	6	28	34	28
Sat Jun 15 20:04:52 2024	1718481892	6	29	34	29
Sat Jun 15 20:04:52 2024	1718481892	6	29	34	29
Sat Jun 15 20:04:52 2024	1718481892	6	29	35	29
Sat Jun 15 20:04:52 2024	1718481892	6	29	35	29
Sat Jun 15 20:04:52 2024	1718481892	6	30	35	30
Sat Jun 15 20:04:52 2024	1718481892	6	30	36	30
Sat Jun 15 20:04:52 2024	1718481892	6	30	36	30
Sat Jun 15 20:04:52 2024	1718481892	6	31	36	31
Sat Jun 15 20:04:52 2024	1718481892	6	31	36	31
Sat Jun 15 20:04:52 2024	1718481892	5	31	37	31
Sat Jun 15 20:04:52 2024	1718481892	5	32	37	32
Sat Jun 15 20:04:52 2024	1718481892	5	32	37	32
Sat Jun 15 20:04:52 2024	1718481892	5	32	38	32
Sat Jun 15 20:04:52 2024	1718481892	5	33	38	33
Sat Jun 15 20:04:52 2024	1718481892	5	33	38	33
Sat Jun 15 20:04:52 2024	1718481892	5	33	39	33
Sat Jun 15 20:04:52 2024	1718481892	5	34	39	34
Sat Jun 15 20:04:52 2024	1718481892	5	34	39	34
Sat Jun 15 20:04:52 2024	1718481892	5	34	40	34
Sat Jun 15 20:04:52 2024	1718481892	5	35	40	35
Sat Jun 15 20:04:52 2024	1718481892	5	35	41	35
Sat Jun 15 20:04:52 2024	1718481892	5	35	41	35
Sat Jun 15 20:04:52 2024	1718481892	5	36	41	36
Sat Jun 15 20:04:52 2024	1718481892	5	36	42	36
Sat Jun 15 20:04:52 2024	1718481892	5	37	42	37
Sat Jun 15 20:04:52 2024	1718481892	5	37	42	37
Sat Jun 15 20:04:52 2024	1718481892	5	37	43	37
Sat Jun 15 20:04:52 2024	1718481892	5	38	43	38
Sat Jun 15 20:04:52 2024	1718481892	5	38	44	38
Sat Jun 15 20:04:52 2024	1718481892	5	38	44	38
Sat Jun 15 20:04:52 2024	1718481892	5	39	44	39
Sat Jun 15 20:04:52 2024	1718481892	5	39	45	39
Sat Jun 15 20:04:52 2024	1718481892	5	40	45	40
Sat Jun 15 20:04:52 2024	1718481892	5	40	46	40
Sat Jun 15 20:04:52 2024	1718481892	5	40	46	40
Sat Jun 15 20:04:52 2024	1718481892	5	41	46	41
Sat Jun 15 20:04:52 2024	1718481892	5	41	46	41
Sat Jun 15 20:04:52 2024	1718481892	5	41	47	41
Sat Jun 15 20:04:52 2024	1718481892	5	42	47	42
Sat Jun 15 20:04:52 2024	1718481892	5	42	48	42
Sat Jun 15 20:04:52 2024	1718481892	5	43	48	43
Sat Jun 15 20:04:52 2024	1718481892	5	43	48	43
Sat Jun 15 20:04:52 2024	1718481892	5	43	49	43
Sat Jun 15 20:04:52 2024	1718481892	5	44	49	44
Sat Jun 15 20:04:52 2024	1718481892	5	44	50	44
Sat Jun 15 20:04:52 2024	1718481892	5	45	50	45
Sat Jun 15 20:04:52 2024	1718481892	5	45	50	45
Sat Jun 15 20:04:52 2024	1718481892	5	45	51	45
Sat Jun 15 20:04:52 2024	1718481892	5	46	51	46
Sat Jun 15 20:04:52 2024	1718481892	5	46	51	46
Sat Jun 15 20:04:52 2024	1718481892	5	46	52	46
Sat Jun 15 20:04:52 2024	1718481892	5	47	52	47
Sat Jun 15 20:04:52 2024	1718481892	5	48	53	48
Sat Jun 15 20:04:52 2024	1718481892	5	48	53	48
Sat Jun 15 20:04:52 2024	1718481892	5	49	54	49
Sat Jun 15 20:04:52 2024	1718481892	5	49	54	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	55	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	6	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	6	50	56	50
Sat Jun 15 20:04:52 2024	1718481892	7	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	7	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	7	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	7	49	56	49
Sat Jun 15 20:04:52 2024	1718481892	7	50	56	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	56	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	56	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	7	49	57	49
Sat Jun 15 20:04:52 2024	1718481892	7	49	57	49
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	7	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	57	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	8	50	58	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	59	50
Sat Jun 15 20:04:52 2024	1718481892	9	50	60	50
Sat Jun 15 20:04:52 2024	1718481892	10	51	60	51
Sat Jun 15 20:04:52 2024	1718481892	10	50	60	50
Sat Jun 15 20:04:52 2024	1718481892	10	50	60	50
Sat Jun 15 20:04:52 2024	1718481892	10	50	60	50
Sat Jun 15 20:04:52 2024	1718481892	10	50	60	50
Sat Jun 15 20:04:52 2024	1718481892	10	50	60	50
Sat Jun 15 20:04:52 2024	1718481892	10	50	60	50
