Percentage served,Time in ms
0,5.510
1,5.557
2,5.577
3,10.181
4,15.364
5,21.035
6,26.975
7,33.905
8,41.064
9,44.127
10,45.920
11,47.838
12,49.974
13,51.979
14,54.181
15,56.315
16,58.485
17,60.529
18,62.685
19,64.914
20,65.777
21,66.552
22,67.243
23,68.005
24,68.577
25,69.760
26,70.531
27,71.104
28,71.894
29,72.611
30,72.783
31,73.068
32,73.257
33,73.334
34,73.705
35,74.086
36,74.320
37,74.383
38,74.566
39,74.743
40,74.860
41,75.250
42,75.523
43,75.727
44,75.905
45,76.031
46,76.164
47,76.238
48,76.320
49,76.371
50,76.443
51,76.493
52,76.519
53,76.554
54,76.575
55,76.596
56,76.616
57,76.640
58,76.666
59,76.689
60,76.699
61,76.715
62,76.772
63,76.860
64,76.934
65,77.006
66,77.031
67,77.060
68,77.086
69,77.101
70,77.116
71,77.183
72,77.228
73,77.272
74,77.343
75,77.387
76,77.407
77,77.456
78,77.494
79,77.510
80,77.522
81,77.568
82,77.988
83,78.290
84,78.573
85,78.906
86,78.984
87,79.041
88,79.111
89,79.138
90,79.424
91,80.317
92,80.591
93,80.768
94,81.474
95,256.562
96,268.021
97,275.581
98,283.280
99,302.054
100,317.932
