starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	1	5	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	5	9	5
Sat Jun 15 20:04:44 2024	1718481884	5	5	10	5
Sat Jun 15 20:04:44 2024	1718481884	5	5	10	5
Sat Jun 15 20:04:44 2024	1718481884	5	5	10	5
Sat Jun 15 20:04:44 2024	1718481884	5	6	11	6
