starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 15 20:04:17 2024	1718481857	80	43	123	38
Sat Jun 15 20:04:17 2024	1718481857	11	113	124	113
Sat Jun 15 20:04:17 2024	1718481857	11	113	124	113
Sat Jun 15 20:04:17 2024	1718481857	11	113	124	113
Sat Jun 15 20:04:17 2024	1718481857	11	113	124	113
Sat Jun 15 20:04:17 2024	1718481857	11	113	125	113
Sat Jun 15 20:04:17 2024	1718481857	11	113	125	113
Sat Jun 15 20:04:17 2024	1718481857	11	114	125	114
Sat Jun 15 20:04:17 2024	1718481857	11	114	125	114
Sat Jun 15 20:04:17 2024	1718481857	12	114	126	114
Sat Jun 15 20:04:17 2024	1718481857	12	114	126	114
Sat Jun 15 20:04:17 2024	1718481857	12	114	126	114
Sat Jun 15 20:04:17 2024	1718481857	12	115	126	115
Sat Jun 15 20:04:17 2024	1718481857	12	115	127	115
Sat Jun 15 20:04:17 2024	1718481857	12	115	127	115
Sat Jun 15 20:04:17 2024	1718481857	12	115	127	115
Sat Jun 15 20:04:17 2024	1718481857	12	115	127	115
Sat Jun 15 20:04:17 2024	1718481857	12	116	128	115
Sat Jun 15 20:04:17 2024	1718481857	12	116	128	116
Sat Jun 15 20:04:17 2024	1718481857	12	116	128	116
Sat Jun 15 20:04:17 2024	1718481857	12	116	128	116
Sat Jun 15 20:04:17 2024	1718481857	13	116	129	116
Sat Jun 15 20:04:17 2024	1718481857	13	116	129	116
Sat Jun 15 20:04:17 2024	1718481857	13	117	129	117
Sat Jun 15 20:04:17 2024	1718481857	13	117	130	117
Sat Jun 15 20:04:17 2024	1718481857	13	117	130	117
Sat Jun 15 20:04:17 2024	1718481857	13	117	130	117
Sat Jun 15 20:04:17 2024	1718481857	13	117	130	117
Sat Jun 15 20:04:17 2024	1718481857	13	117	131	117
Sat Jun 15 20:04:17 2024	1718481857	13	118	131	118
Sat Jun 15 20:04:17 2024	1718481857	13	118	131	118
Sat Jun 15 20:04:17 2024	1718481857	13	118	131	118
Sat Jun 15 20:04:17 2024	1718481857	13	118	132	118
Sat Jun 15 20:04:17 2024	1718481857	13	118	132	118
Sat Jun 15 20:04:17 2024	1718481857	14	119	132	119
Sat Jun 15 20:04:17 2024	1718481857	14	119	132	119
Sat Jun 15 20:04:17 2024	1718481857	14	119	133	119
Sat Jun 15 20:04:17 2024	1718481857	14	119	133	119
Sat Jun 15 20:04:17 2024	1718481857	14	119	133	119
Sat Jun 15 20:04:17 2024	1718481857	14	119	133	119
Sat Jun 15 20:04:17 2024	1718481857	14	120	134	120
Sat Jun 15 20:04:17 2024	1718481857	14	120	134	120
Sat Jun 15 20:04:17 2024	1718481857	14	120	134	120
Sat Jun 15 20:04:17 2024	1718481857	14	120	134	120
Sat Jun 15 20:04:17 2024	1718481857	14	120	135	120
Sat Jun 15 20:04:17 2024	1718481857	14	120	135	120
Sat Jun 15 20:04:17 2024	1718481857	15	121	135	121
Sat Jun 15 20:04:17 2024	1718481857	15	121	135	121
Sat Jun 15 20:04:17 2024	1718481857	15	121	136	121
Sat Jun 15 20:04:17 2024	1718481857	15	121	136	121
Sat Jun 15 20:04:17 2024	1718481857	15	122	137	122
Sat Jun 15 20:04:17 2024	1718481857	15	122	137	122
Sat Jun 15 20:04:17 2024	1718481857	15	122	137	122
Sat Jun 15 20:04:17 2024	1718481857	15	122	137	122
Sat Jun 15 20:04:17 2024	1718481857	15	122	138	122
Sat Jun 15 20:04:17 2024	1718481857	15	122	138	122
Sat Jun 15 20:04:17 2024	1718481857	15	123	138	123
