Percentage served,Time in ms
0,121.646
1,128.083
2,135.373
3,141.803
4,147.992
5,154.257
6,160.630
7,167.046
8,173.352
9,179.716
10,186.186
11,192.748
12,199.535
13,206.073
14,212.768
15,219.771
16,226.755
17,233.769
18,240.786
19,246.262
20,248.429
21,250.834
22,253.673
23,256.379
24,256.784
25,257.118
26,257.572
27,258.083
28,258.539
29,260.082
30,260.933
31,261.275
32,261.529
33,261.735
34,262.152
35,263.116
36,264.201
37,264.627
38,265.085
39,265.314
40,265.415
41,266.257
42,266.701
43,267.160
44,267.909
45,268.285
46,271.803
47,274.996
48,278.289
49,278.680
50,278.782
51,278.879
52,278.987
53,279.100
54,279.164
55,279.261
56,279.312
57,279.358
58,279.393
59,279.429
60,279.469
61,279.550
62,279.589
63,279.641
64,279.692
65,279.785
66,279.853
67,279.941
68,280.013
69,280.094
70,280.228
71,280.264
72,280.318
73,280.371
74,280.415
75,280.489
76,280.571
77,280.644
78,280.735
79,280.785
80,401.388
81,422.234
82,443.234
83,458.082
84,479.132
85,500.453
86,523.371
87,549.513
88,599.925
89,662.917
90,685.404
91,694.418
92,706.298
93,711.608
94,724.030
95,773.729
96,825.709
97,871.019
98,922.366
99,971.225
100,1282.364
