Percentage served,Time in ms
0,29.200
1,34.455
2,40.615
3,48.140
4,52.366
5,54.424
6,56.471
7,58.655
8,60.813
9,62.987
10,65.116
11,67.300
12,69.645
13,71.811
14,73.450
15,75.387
16,76.049
17,77.049
18,77.654
19,78.444
20,79.535
21,80.416
22,81.402
23,81.973
24,83.358
25,84.396
26,85.144
27,86.139
28,87.186
29,88.318
30,89.837
31,90.503
32,91.627
33,92.014
34,92.193
35,92.274
36,92.305
37,92.345
38,92.398
39,92.441
40,92.487
41,92.550
42,92.632
43,93.155
44,93.395
45,93.497
46,93.558
47,93.700
48,93.716
49,93.732
50,93.786
51,93.805
52,93.839
53,93.856
54,93.863
55,93.873
56,93.888
57,93.915
58,93.956
59,94.077
60,94.254
61,94.326
62,94.405
63,94.446
64,94.544
65,94.642
66,94.667
67,94.716
68,94.795
69,94.885
70,94.949
71,95.208
72,95.419
73,95.572
74,95.846
75,97.349
76,97.525
77,97.604
78,97.694
79,97.755
80,97.874
81,97.948
82,98.038
83,98.076
84,98.115
85,98.140
86,98.165
87,98.366
88,98.726
89,99.122
90,99.185
91,99.224
92,101.058
93,276.277
94,291.237
95,303.489
96,304.875
97,314.852
98,346.539
99,480.080
100,488.352
