starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 15 20:05:09 2024	1718481909	5	26	31	26
Sat Jun 15 20:05:09 2024	1718481909	5	26	31	26
Sat Jun 15 20:05:09 2024	1718481909	5	26	32	26
Sat Jun 15 20:05:09 2024	1718481909	5	27	32	26
Sat Jun 15 20:05:09 2024	1718481909	5	27	32	27
Sat Jun 15 20:05:09 2024	1718481909	5	27	32	27
Sat Jun 15 20:05:09 2024	1718481909	5	27	33	27
Sat Jun 15 20:05:09 2024	1718481909	5	28	33	28
Sat Jun 15 20:05:09 2024	1718481909	5	28	33	28
Sat Jun 15 20:05:09 2024	1718481909	5	28	34	28
Sat Jun 15 20:05:09 2024	1718481909	5	29	34	29
Sat Jun 15 20:05:09 2024	1718481909	5	29	34	29
Sat Jun 15 20:05:09 2024	1718481909	5	29	35	29
Sat Jun 15 20:05:09 2024	1718481909	5	30	35	30
Sat Jun 15 20:05:09 2024	1718481909	5	30	35	30
Sat Jun 15 20:05:09 2024	1718481909	5	30	36	30
Sat Jun 15 20:05:09 2024	1718481909	5	30	36	30
Sat Jun 15 20:05:09 2024	1718481909	5	31	36	31
Sat Jun 15 20:05:09 2024	1718481909	5	31	36	31
Sat Jun 15 20:05:09 2024	1718481909	5	31	37	31
Sat Jun 15 20:05:09 2024	1718481909	5	32	37	32
Sat Jun 15 20:05:09 2024	1718481909	5	32	37	32
Sat Jun 15 20:05:09 2024	1718481909	5	32	38	32
Sat Jun 15 20:05:09 2024	1718481909	5	33	38	33
Sat Jun 15 20:05:09 2024	1718481909	5	33	38	33
Sat Jun 15 20:05:09 2024	1718481909	5	33	39	33
Sat Jun 15 20:05:09 2024	1718481909	5	34	39	34
Sat Jun 15 20:05:09 2024	1718481909	5	34	39	34
Sat Jun 15 20:05:09 2024	1718481909	5	34	39	34
Sat Jun 15 20:05:09 2024	1718481909	5	34	40	34
Sat Jun 15 20:05:09 2024	1718481909	5	35	40	35
Sat Jun 15 20:05:09 2024	1718481909	5	35	40	35
Sat Jun 15 20:05:09 2024	1718481909	5	35	41	35
Sat Jun 15 20:05:09 2024	1718481909	5	36	41	36
Sat Jun 15 20:05:09 2024	1718481909	5	36	41	36
Sat Jun 15 20:05:09 2024	1718481909	5	36	42	36
Sat Jun 15 20:05:09 2024	1718481909	5	37	42	37
Sat Jun 15 20:05:09 2024	1718481909	5	37	42	37
Sat Jun 15 20:05:09 2024	1718481909	5	37	42	37
Sat Jun 15 20:05:09 2024	1718481909	5	37	43	37
Sat Jun 15 20:05:09 2024	1718481909	5	38	43	38
Sat Jun 15 20:05:09 2024	1718481909	5	38	43	38
Sat Jun 15 20:05:09 2024	1718481909	5	39	44	39
Sat Jun 15 20:05:09 2024	1718481909	5	39	44	39
Sat Jun 15 20:05:09 2024	1718481909	5	39	44	39
Sat Jun 15 20:05:09 2024	1718481909	5	40	45	40
Sat Jun 15 20:05:09 2024	1718481909	5	40	45	40
Sat Jun 15 20:05:09 2024	1718481909	5	40	46	40
Sat Jun 15 20:05:09 2024	1718481909	5	41	46	41
Sat Jun 15 20:05:09 2024	1718481909	5	41	46	41
Sat Jun 15 20:05:09 2024	1718481909	5	42	47	42
Sat Jun 15 20:05:09 2024	1718481909	5	42	47	42
Sat Jun 15 20:05:09 2024	1718481909	5	42	47	42
Sat Jun 15 20:05:09 2024	1718481909	5	43	48	43
Sat Jun 15 20:05:09 2024	1718481909	5	43	48	43
Sat Jun 15 20:05:09 2024	1718481909	5	43	49	43
Sat Jun 15 20:05:09 2024	1718481909	5	44	49	44
Sat Jun 15 20:05:09 2024	1718481909	5	44	49	44
