Native,ebpfjit (unchecked),ebpfjit (virtual memory),Wasmtime (Cranelift),ebpfjit (simple checks)
6,5,6,127,6
6,5,6,127,6
6,5,6,127,6
6,5,6,128,6
6,5,6,128,6
6,5,6,128,6
6,5,6,129,6
6,5,6,129,6
6,5,6,129,6
6,5,6,130,6
6,5,6,130,6
6,5,6,130,6
6,5,6,131,6
6,5,6,131,6
6,5,6,131,7
6,5,6,132,7
6,5,6,132,8
6,5,6,132,8
6,5,6,133,9
6,5,6,133,9
6,5,6,133,10
6,5,6,134,10
6,5,6,134,11
6,5,6,134,12
6,5,6,135,12
6,5,6,135,13
6,5,6,135,13
6,5,6,136,14
6,5,6,136,14
6,5,6,136,15
6,5,6,137,15
6,5,6,137,16
6,5,6,137,16
6,5,6,138,17
6,5,6,138,17
6,5,6,138,18
6,5,6,139,19
6,5,6,139,19
6,5,6,139,20
6,5,6,140,21
6,5,6,140,21
6,5,6,140,22
6,5,6,141,23
6,5,6,141,23
6,5,6,141,24
6,5,6,142,25
6,5,6,142,25
6,5,6,142,26
6,5,6,143,27
6,5,6,143,27
6,5,6,144,28
6,5,6,144,29
6,5,6,144,29
6,5,6,145,30
6,5,6,145,31
6,5,6,145,32
6,5,6,146,32
6,5,6,146,33
6,5,6,146,34
6,5,6,147,35
6,5,6,147,35
6,5,6,147,36
6,5,6,148,37
6,5,6,148,38
6,5,6,148,39
6,5,6,149,40
6,5,6,149,41
6,5,6,150,42
6,5,6,150,42
6,5,6,150,43
6,5,7,151,44
6,5,7,151,45
6,5,7,151,46
6,5,7,152,47
6,5,7,152,48
6,5,7,152,49
6,5,8,153,50
6,5,8,153,52
6,5,8,153,53
6,5,8,154,54
6,5,8,154,56
6,5,8,154,57
6,5,9,155,58
6,5,9,155,59
6,5,9,155,60
6,5,9,156,61
6,5,9,156,62
6,5,9,156,63
6,5,10,157,65
6,5,10,157,66
7,6,10,158,67
7,6,10,158,68
7,6,10,158,69
7,6,10,159,70
7,6,11,159,71
7,6,11,159,73
7,6,11,160,74
7,6,11,160,75
7,6,11,160,76
7,7,11,161,77
8,7,12,161,78
8,7,12,161,79
8,7,12,162,80
8,7,12,162,82
8,7,12,162,83
8,7,13,163,85
8,7,13,163,85
9,8,13,163,87
9,8,13,164,88
9,8,13,164,89
9,8,13,164,90
9,8,14,165,91
9,8,14,165,91
10,8,14,165,91
10,8,14,166,91
10,8,14,166,92
10,9,15,167,92
10,9,15,167,92
11,9,15,167,92
11,9,15,168,92
11,9,15,168,92
11,9,15,168,92
11,9,16,169,93
11,10,16,169,93
11,10,16,169,93
11,10,16,170,93
11,10,16,170,93
12,10,17,170,94
12,10,17,171,94
12,10,17,171,94
12,10,17,172,94
12,11,17,172,94
12,11,18,172,94
12,11,18,173,94
13,11,18,173,95
13,11,18,173,95
13,11,19,174,95
13,11,19,174,95
13,12,19,174,96
13,12,19,175,96
14,12,19,175,96
14,12,20,175,96
14,12,20,176,96
14,12,20,176,96
14,12,20,176,96
14,12,21,177,97
15,13,21,177,97
15,13,21,178,97
15,13,21,178,97
15,13,22,178,97
15,13,22,179,98
15,13,22,179,98
16,14,22,179,98
16,14,22,180,98
16,14,23,180,98
16,14,23,180,98
16,14,23,181,99
17,14,23,181,99
17,15,24,181,99
17,15,24,182,99
17,15,24,182,99
17,15,24,183,100
17,15,25,183,100
18,15,25,183,100
18,16,25,184,100
18,16,25,184,100
18,16,26,184,100
18,16,26,185,100
19,16,26,185,101
19,16,26,185,101
19,16,27,186,101
19,17,27,186,102
19,17,27,187,102
19,17,27,187,102
20,17,28,187,102
20,18,28,188,102
20,18,28,188,102
20,18,29,188,103
21,18,29,189,103
21,18,29,189,103
21,18,29,189,103
21,18,30,190,103
22,19,30,190,103
22,19,30,190,103
22,19,30,191,104
22,19,31,191,104
23,19,31,191,104
23,20,31,192,104
23,20,31,192,105
23,20,32,193,105
24,20,32,193,105
24,20,32,193,105
24,21,33,193,105
25,21,33,194,106
25,21,33,194,106
25,21,33,194,106
25,21,34,195,106
26,22,34,195,107
26,22,34,195,107
26,22,35,196,107
27,22,35,196,107
27,22,35,197,107
27,23,36,197,107
28,23,36,197,108
28,23,36,198,108
28,23,37,198,108
28,23,37,198,108
29,24,37,199,109
29,24,37,199,109
29,24,38,199,109
29,24,38,200,109
30,24,38,200,109
30,24,39,200,110
30,25,39,201,110
31,25,39,201,110
31,25,40,202,110
31,25,40,202,110
32,26,40,203,110
32,26,41,203,111
32,26,41,203,111
33,26,41,204,111
33,27,42,204,111
33,27,42,204,111
34,27,42,205,112
34,27,42,205,112
34,27,43,205,112
34,28,43,206,112
35,28,44,206,112
35,28,44,207,112
35,28,45,207,113
35,29,45,207,113
36,29,45,208,113
36,29,45,208,113
36,29,45,211,114
37,30,45,211,114
37,30,45,212,114
37,30,45,212,114
38,30,45,212,114
38,31,45,213,114
38,31,45,214,115
39,31,45,214,115
39,31,46,214,115
39,31,46,215,115
40,32,46,215,115
40,32,46,216,116
40,32,46,216,116
40,32,46,216,116
40,33,46,217,116
40,33,46,217,116
40,33,46,217,116
40,33,47,218,117
41,33,47,218,117
41,33,47,218,117
41,34,47,219,117
41,34,47,219,118
41,35,47,220,118
41,35,47,220,118
41,35,47,220,118
41,36,47,221,118
41,36,47,221,119
41,36,48,221,119
42,36,48,222,119
42,36,48,222,119
42,36,48,223,120
42,36,48,223,120
42,36,48,223,120
42,36,48,224,120
42,36,48,224,121
42,36,48,224,121
42,36,49,225,121
42,36,49,225,121
42,36,49,225,122
42,37,49,226,122
43,37,49,226,122
43,37,49,226,122
43,37,49,227,122
43,37,49,227,122
43,37,49,228,123
43,37,49,228,123
43,37,49,228,123
43,37,49,229,123
43,37,49,229,124
43,37,49,229,124
43,37,50,230,124
43,37,50,230,124
43,37,50,230,125
44,37,50,231,125
44,37,50,231,125
44,37,50,231,125
44,38,50,232,125
44,38,50,232,126
44,38,50,232,126
44,38,50,233,126
44,38,51,233,126
44,38,51,233,126
44,38,51,234,127
44,38,51,234,127
44,38,51,235,127
44,38,51,235,127
45,38,51,235,127
45,38,51,236,127
45,38,51,236,128
45,38,51,236,128
45,39,51,237,128
45,39,52,237,128
45,39,52,237,128
45,39,52,238,129
45,39,52,238,129
45,39,52,238,129
45,39,52,239,129
45,39,52,239,130
46,39,52,240,130
46,39,52,240,130
46,39,52,240,130
46,39,53,241,131
46,39,53,241,131
46,39,53,241,131
46,39,53,242,131
46,39,53,242,131
46,39,53,242,131
46,40,53,243,132
46,40,53,243,132
46,40,53,243,132
46,40,54,244,132
46,40,54,244,133
46,40,54,244,133
47,40,54,245,133
47,40,54,245,133
47,40,54,246,134
47,40,54,246,134
47,40,54,246,134
47,40,54,247,134
47,40,54,247,134
47,41,55,248,134
47,41,55,248,135
47,41,55,248,135
47,41,55,248,135
47,41,55,249,135
48,41,55,249,135
48,41,55,250,136
48,41,55,250,136
48,41,55,250,136
48,41,56,251,136
48,41,56,251,136
48,41,56,251,137
48,41,56,252,137
48,41,56,252,137
48,41,56,252,137
