Percentage served,Time in ms
0,129.337
1,138.137
2,146.499
3,155.321
4,164.094
5,172.861
6,181.819
7,191.152
8,199.981
9,208.843
10,218.029
11,227.292
12,236.622
13,245.930
14,255.202
15,264.245
16,273.614
17,283.536
18,293.635
19,302.978
20,323.086
21,325.733
22,331.748
23,337.351
24,341.135
25,343.048
26,343.643
27,344.515
28,348.362
29,351.629
30,357.416
31,358.488
32,358.876
33,359.206
34,359.426
35,359.618
36,359.820
37,360.029
38,360.145
39,360.310
40,360.421
41,360.597
42,360.790
43,360.906
44,361.085
45,361.178
46,361.289
47,361.417
48,361.588
49,361.743
50,361.972
51,362.162
52,362.513
53,362.861
54,363.458
55,364.096
56,364.507
57,364.828
58,365.182
59,365.930
60,367.234
61,369.067
62,369.671
63,370.380
64,370.713
65,370.865
66,370.970
67,371.059
68,371.180
69,371.259
70,371.318
71,371.348
72,371.383
73,371.421
74,371.495
75,372.741
76,424.682
77,456.591
78,487.511
79,517.489
80,540.005
81,576.808
82,615.766
83,646.777
84,701.880
85,736.124
86,892.762
87,902.810
88,912.812
89,922.663
90,931.129
91,937.857
92,945.977
93,965.583
94,989.644
95,1041.466
96,1055.852
97,1069.140
98,1108.990
99,1582.538
100,1622.753
