starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 15 20:05:55 2024	1718481955	14	140	154	140
Sat Jun 15 20:05:55 2024	1718481955	14	141	154	140
Sat Jun 15 20:05:55 2024	1718481955	14	141	155	141
Sat Jun 15 20:05:55 2024	1718481955	14	141	155	141
Sat Jun 15 20:05:55 2024	1718481955	14	141	155	141
Sat Jun 15 20:05:55 2024	1718481955	14	142	156	142
Sat Jun 15 20:05:55 2024	1718481955	14	142	156	142
Sat Jun 15 20:05:55 2024	1718481955	14	142	157	142
Sat Jun 15 20:05:55 2024	1718481955	14	143	157	143
Sat Jun 15 20:05:55 2024	1718481955	14	143	157	143
Sat Jun 15 20:05:55 2024	1718481955	14	143	158	143
Sat Jun 15 20:05:55 2024	1718481955	14	144	158	144
Sat Jun 15 20:05:55 2024	1718481955	15	144	158	144
Sat Jun 15 20:05:55 2024	1718481955	15	144	159	144
Sat Jun 15 20:05:55 2024	1718481955	15	145	159	145
Sat Jun 15 20:05:55 2024	1718481955	15	145	160	145
Sat Jun 15 20:05:55 2024	1718481955	15	145	160	145
Sat Jun 15 20:05:55 2024	1718481955	15	146	161	146
Sat Jun 15 20:05:55 2024	1718481955	15	146	161	146
Sat Jun 15 20:05:55 2024	1718481955	15	146	161	146
Sat Jun 15 20:05:55 2024	1718481955	15	147	162	147
Sat Jun 15 20:05:55 2024	1718481955	15	147	162	147
Sat Jun 15 20:05:55 2024	1718481955	15	147	163	147
Sat Jun 15 20:05:55 2024	1718481955	15	148	163	148
Sat Jun 15 20:05:55 2024	1718481955	16	148	163	148
Sat Jun 15 20:05:55 2024	1718481955	16	148	164	148
Sat Jun 15 20:05:55 2024	1718481955	16	149	164	149
Sat Jun 15 20:05:55 2024	1718481955	16	149	165	149
Sat Jun 15 20:05:55 2024	1718481955	16	149	165	149
Sat Jun 15 20:05:55 2024	1718481955	16	149	165	149
Sat Jun 15 20:05:55 2024	1718481955	16	150	166	150
Sat Jun 15 20:05:55 2024	1718481955	16	150	166	150
Sat Jun 15 20:05:55 2024	1718481955	16	150	167	150
Sat Jun 15 20:05:55 2024	1718481955	16	151	167	151
Sat Jun 15 20:05:55 2024	1718481955	16	151	167	151
Sat Jun 15 20:05:55 2024	1718481955	16	151	168	151
Sat Jun 15 20:05:55 2024	1718481955	17	152	168	152
Sat Jun 15 20:05:55 2024	1718481955	17	152	169	152
Sat Jun 15 20:05:55 2024	1718481955	17	152	169	152
Sat Jun 15 20:05:55 2024	1718481955	17	153	169	153
Sat Jun 15 20:05:55 2024	1718481955	17	153	170	153
Sat Jun 15 20:05:55 2024	1718481955	17	153	170	153
Sat Jun 15 20:05:55 2024	1718481955	17	154	171	154
Sat Jun 15 20:05:55 2024	1718481955	17	154	171	154
Sat Jun 15 20:05:55 2024	1718481955	17	154	171	154
Sat Jun 15 20:05:55 2024	1718481955	17	155	172	155
Sat Jun 15 20:05:55 2024	1718481955	17	155	172	155
Sat Jun 15 20:05:55 2024	1718481955	18	155	173	155
Sat Jun 15 20:05:55 2024	1718481955	18	155	173	155
