Percentage served,Time in ms
0,54.366
1,84.427
2,96.474
3,109.007
4,116.397
5,116.806
6,117.072
7,117.478
8,117.923
9,118.222
10,118.539
11,118.806
12,119.010
13,119.269
14,119.434
15,119.559
16,119.685
17,119.836
18,119.928
19,120.004
20,120.074
21,120.116
22,120.159
23,120.238
24,120.329
25,120.526
26,120.831
27,121.014
28,121.268
29,121.518
30,121.714
31,121.985
32,122.084
33,122.695
34,122.954
35,123.354
36,123.694
37,123.996
38,124.122
39,124.478
40,124.680
41,124.979
42,125.112
43,125.310
44,125.555
45,125.849
46,126.185
47,126.362
48,126.469
49,126.579
50,126.695
51,127.294
52,128.243
53,129.362
54,131.062
55,131.607
56,132.049
57,132.379
58,132.578
59,132.768
60,132.861
61,133.003
62,133.132
63,133.284
64,133.533
65,133.667
66,133.778
67,133.951
68,134.033
69,134.118
70,134.195
71,134.350
72,134.917
73,135.578
74,135.690
75,135.768
76,135.801
77,135.848
78,135.935
79,136.151
80,136.260
81,136.341
82,136.413
83,136.471
84,136.663
85,136.766
86,136.863
87,136.966
88,137.091
89,137.157
90,137.804
91,357.802
92,388.796
93,402.977
94,409.042
95,635.659
96,777.356
97,812.615
98,1130.053
99,1262.787
100,2476.447
