starttime	seconds	ctime	dtime	ttime	wait
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	32	27
Mon May 20 16:59:16 2024	1716224356	5	27	33	27
Mon May 20 16:59:16 2024	1716224356	5	27	33	27
Mon May 20 16:59:16 2024	1716224356	5	27	33	27
Mon May 20 16:59:16 2024	1716224356	5	27	33	27
Mon May 20 16:59:16 2024	1716224356	5	27	33	27
Mon May 20 16:59:16 2024	1716224356	5	28	33	28
Mon May 20 16:59:16 2024	1716224356	5	28	33	28
Mon May 20 16:59:16 2024	1716224356	5	28	33	28
Mon May 20 16:59:16 2024	1716224356	6	28	33	28
Mon May 20 16:59:16 2024	1716224356	6	28	33	28
Mon May 20 16:59:16 2024	1716224356	6	28	33	28
Mon May 20 16:59:16 2024	1716224356	6	28	33	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	34	28
Mon May 20 16:59:16 2024	1716224356	6	28	35	28
Mon May 20 16:59:16 2024	1716224356	6	28	35	28
Mon May 20 16:59:16 2024	1716224356	6	28	35	28
Mon May 20 16:59:16 2024	1716224356	6	29	35	29
Mon May 20 16:59:16 2024	1716224356	6	29	35	29
Mon May 20 16:59:16 2024	1716224356	6	29	35	29
Mon May 20 16:59:16 2024	1716224356	6	29	35	29
Mon May 20 16:59:16 2024	1716224356	6	29	35	29
Mon May 20 16:59:16 2024	1716224356	6	29	35	29
Mon May 20 16:59:16 2024	1716224356	7	29	35	29
Mon May 20 16:59:16 2024	1716224356	7	29	35	29
Mon May 20 16:59:16 2024	1716224356	7	29	35	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	36	29
Mon May 20 16:59:16 2024	1716224356	7	29	37	29
Mon May 20 16:59:16 2024	1716224356	7	29	37	29
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	7	30	37	30
Mon May 20 16:59:16 2024	1716224356	8	30	37	30
Mon May 20 16:59:16 2024	1716224356	8	30	37	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	38	30
Mon May 20 16:59:16 2024	1716224356	8	30	39	30
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	8	31	39	31
Mon May 20 16:59:16 2024	1716224356	9	31	39	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	31	40	31
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	41	32
Mon May 20 16:59:16 2024	1716224356	9	32	42	32
Mon May 20 16:59:16 2024	1716224356	10	32	42	32
Mon May 20 16:59:16 2024	1716224356	10	32	42	32
Mon May 20 16:59:16 2024	1716224356	10	32	42	32
Mon May 20 16:59:16 2024	1716224356	10	32	42	32
Mon May 20 16:59:16 2024	1716224356	10	32	42	32
