starttime	seconds	ctime	dtime	ttime	wait
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	0	3	0
Mon May 20 16:59:54 2024	1716224394	3	1	3	1
Mon May 20 16:59:54 2024	1716224394	3	1	4	1
Mon May 20 16:59:54 2024	1716224394	3	1	4	1
Mon May 20 16:59:54 2024	1716224394	3	1	4	1
Mon May 20 16:59:54 2024	1716224394	3	1	4	1
Mon May 20 16:59:54 2024	1716224394	3	1	4	1
Mon May 20 16:59:54 2024	1716224394	3	1	4	1
Mon May 20 16:59:54 2024	1716224394	3	2	5	2
Mon May 20 16:59:54 2024	1716224394	3	2	5	2
Mon May 20 16:59:54 2024	1716224394	3	2	5	2
Mon May 20 16:59:54 2024	1716224394	3	2	5	2
Mon May 20 16:59:54 2024	1716224394	3	2	5	2
Mon May 20 16:59:54 2024	1716224394	3	2	5	2
Mon May 20 16:59:54 2024	1716224394	3	3	6	3
Mon May 20 16:59:54 2024	1716224394	3	3	6	3
Mon May 20 16:59:54 2024	1716224394	3	3	6	3
