Percentage served,Time in ms
0,4.630
1,10.354
2,17.359
3,20.484
4,22.897
5,25.644
6,28.538
7,31.416
8,34.407
9,36.566
10,42.358
11,42.377
12,42.396
13,42.409
14,42.428
15,42.461
16,42.482
17,42.495
18,42.513
19,42.635
20,42.680
21,42.739
22,42.857
23,42.912
24,42.948
25,42.968
26,42.985
27,43.008
28,43.073
29,43.155
30,43.206
31,43.245
32,43.254
33,43.269
34,43.299
35,43.340
36,43.390
37,43.421
38,43.442
39,43.496
40,43.701
41,43.905
42,44.032
43,44.065
44,44.111
45,44.171
46,44.184
47,44.198
48,44.232
49,44.258
50,44.266
51,44.276
52,44.288
53,44.373
54,44.473
55,44.495
56,44.528
57,44.606
58,44.629
59,44.674
60,44.700
61,44.738
62,44.779
63,44.812
64,44.839
65,44.866
66,44.887
67,44.943
68,44.982
69,45.077
70,45.156
71,45.222
72,45.274
73,45.407
74,45.553
75,45.597
76,45.638
77,45.691
78,45.722
79,45.735
80,45.752
81,45.789
82,45.843
83,46.204
84,46.409
85,46.509
86,46.544
87,46.705
88,47.065
89,47.191
90,47.463
91,47.749
92,48.700
93,48.777
94,48.816
95,48.838
96,48.912
97,49.013
98,49.074
99,49.157
100,268.211
