starttime	seconds	ctime	dtime	ttime	wait
Mon May 20 16:56:59 2024	1716224219	4	0	5	0
Mon May 20 16:56:59 2024	1716224219	4	0	5	0
Mon May 20 16:56:59 2024	1716224219	4	0	5	0
Mon May 20 16:56:59 2024	1716224219	4	0	5	0
Mon May 20 16:56:59 2024	1716224219	4	0	5	0
Mon May 20 16:56:59 2024	1716224219	4	0	5	0
Mon May 20 16:56:59 2024	1716224219	4	1	5	1
Mon May 20 16:56:59 2024	1716224219	4	1	5	1
Mon May 20 16:56:59 2024	1716224219	4	1	5	1
Mon May 20 16:56:59 2024	1716224219	4	1	5	1
Mon May 20 16:56:59 2024	1716224219	4	1	6	1
Mon May 20 16:56:59 2024	1716224219	4	1	6	1
Mon May 20 16:56:59 2024	1716224219	4	2	6	2
Mon May 20 16:56:59 2024	1716224219	4	2	6	2
Mon May 20 16:56:59 2024	1716224219	4	2	6	2
Mon May 20 16:56:59 2024	1716224219	4	2	7	2
Mon May 20 16:56:59 2024	1716224219	4	2	7	2
Mon May 20 16:56:59 2024	1716224219	4	3	7	3
Mon May 20 16:56:59 2024	1716224219	4	3	7	3
Mon May 20 16:56:59 2024	1716224219	4	3	7	3
Mon May 20 16:56:59 2024	1716224219	4	3	8	3
Mon May 20 16:56:59 2024	1716224219	4	3	8	3
Mon May 20 16:56:59 2024	1716224219	4	4	8	4
Mon May 20 16:56:59 2024	1716224219	4	4	8	4
Mon May 20 16:56:59 2024	1716224219	4	4	8	4
Mon May 20 16:56:59 2024	1716224219	4	4	8	4
Mon May 20 16:56:59 2024	1716224219	4	4	9	4
Mon May 20 16:56:59 2024	1716224219	4	5	9	5
Mon May 20 16:56:59 2024	1716224219	4	5	9	5
Mon May 20 16:56:59 2024	1716224219	4	5	9	5
Mon May 20 16:56:59 2024	1716224219	4	5	10	5
Mon May 20 16:56:59 2024	1716224219	4	6	10	6
Mon May 20 16:56:59 2024	1716224219	4	6	10	6
Mon May 20 16:56:59 2024	1716224219	4	6	10	6
Mon May 20 16:56:59 2024	1716224219	4	6	11	6
Mon May 20 16:56:59 2024	1716224219	4	7	11	7
Mon May 20 16:56:59 2024	1716224219	4	7	11	7
Mon May 20 16:56:59 2024	1716224219	4	7	11	7
Mon May 20 16:56:59 2024	1716224219	4	7	12	7
Mon May 20 16:56:59 2024	1716224219	4	8	12	8
Mon May 20 16:56:59 2024	1716224219	4	8	12	8
Mon May 20 16:56:59 2024	1716224219	4	8	13	8
Mon May 20 16:56:59 2024	1716224219	4	9	13	9
Mon May 20 16:56:59 2024	1716224219	4	9	13	9
Mon May 20 16:56:59 2024	1716224219	4	9	13	9
Mon May 20 16:56:59 2024	1716224219	4	10	14	10
Mon May 20 16:56:59 2024	1716224219	4	10	14	10
Mon May 20 16:56:59 2024	1716224219	4	10	14	10
Mon May 20 16:56:59 2024	1716224219	4	10	15	10
Mon May 20 16:56:59 2024	1716224219	4	11	15	11
Mon May 20 16:56:59 2024	1716224219	4	11	15	11
Mon May 20 16:56:59 2024	1716224219	4	11	16	11
Mon May 20 16:56:59 2024	1716224219	4	12	16	12
Mon May 20 16:56:59 2024	1716224219	4	12	16	12
Mon May 20 16:56:59 2024	1716224219	4	12	16	12
Mon May 20 16:56:59 2024	1716224219	4	12	17	12
Mon May 20 16:56:59 2024	1716224219	4	13	17	13
Mon May 20 16:56:59 2024	1716224219	4	13	17	13
Mon May 20 16:56:59 2024	1716224219	4	13	18	13
Mon May 20 16:56:59 2024	1716224219	4	14	18	14
Mon May 20 16:56:59 2024	1716224219	4	14	18	14
Mon May 20 16:56:59 2024	1716224219	4	14	19	14
Mon May 20 16:56:59 2024	1716224219	4	15	19	15
Mon May 20 16:56:59 2024	1716224219	4	15	19	15
Mon May 20 16:56:59 2024	1716224219	4	16	20	16
Mon May 20 16:56:59 2024	1716224219	4	16	20	16
Mon May 20 16:56:59 2024	1716224219	4	16	21	16
Mon May 20 16:56:59 2024	1716224219	4	17	21	17
Mon May 20 16:56:59 2024	1716224219	4	17	21	17
Mon May 20 16:56:59 2024	1716224219	4	17	21	17
Mon May 20 16:56:59 2024	1716224219	4	18	22	18
Mon May 20 16:56:59 2024	1716224219	4	18	22	18
Mon May 20 16:56:59 2024	1716224219	4	18	23	18
Mon May 20 16:56:59 2024	1716224219	4	19	23	19
Mon May 20 16:56:59 2024	1716224219	4	19	23	19
Mon May 20 16:56:59 2024	1716224219	4	20	24	20
Mon May 20 16:56:59 2024	1716224219	4	20	24	20
Mon May 20 16:56:59 2024	1716224219	4	20	24	20
Mon May 20 16:56:59 2024	1716224219	4	20	25	20
Mon May 20 16:56:59 2024	1716224219	4	21	25	21
Mon May 20 16:56:59 2024	1716224219	4	22	26	22
Mon May 20 16:56:59 2024	1716224219	4	22	26	22
Mon May 20 16:56:59 2024	1716224219	4	22	26	22
Mon May 20 16:56:59 2024	1716224219	4	23	27	23
Mon May 20 16:56:59 2024	1716224219	4	24	28	24
Mon May 20 16:56:59 2024	1716224219	4	24	28	24
Mon May 20 16:56:59 2024	1716224219	4	25	29	25
Mon May 20 16:56:59 2024	1716224219	4	25	29	25
Mon May 20 16:56:59 2024	1716224219	4	26	30	26
Mon May 20 16:56:59 2024	1716224219	4	26	30	26
Mon May 20 16:56:59 2024	1716224219	4	27	31	27
Mon May 20 16:56:59 2024	1716224219	4	27	31	27
Mon May 20 16:56:59 2024	1716224219	4	28	32	28
Mon May 20 16:56:59 2024	1716224219	4	28	32	28
Mon May 20 16:56:59 2024	1716224219	4	29	33	29
Mon May 20 16:56:59 2024	1716224219	4	29	33	29
Mon May 20 16:56:59 2024	1716224219	4	30	34	30
Mon May 20 16:56:59 2024	1716224219	4	31	35	31
Mon May 20 16:56:59 2024	1716224219	22	13	35	8
Mon May 20 16:56:59 2024	1716224219	4	31	35	31
Mon May 20 16:56:59 2024	1716224219	4	32	36	32
Mon May 20 16:56:59 2024	1716224219	4	32	37	32
Mon May 20 16:56:59 2024	1716224219	4	33	37	33
Mon May 20 16:56:59 2024	1716224219	4	34	38	34
Mon May 20 16:56:59 2024	1716224219	4	34	39	34
Mon May 20 16:56:59 2024	1716224219	4	35	39	35
Mon May 20 16:56:59 2024	1716224219	4	36	40	36
Mon May 20 16:56:59 2024	1716224219	4	36	40	36
Mon May 20 16:56:59 2024	1716224219	4	37	41	37
Mon May 20 16:56:59 2024	1716224219	4	38	42	38
Mon May 20 16:56:59 2024	1716224219	4	38	42	38
Mon May 20 16:56:59 2024	1716224219	4	39	43	39
Mon May 20 16:56:59 2024	1716224219	4	40	44	40
Mon May 20 16:56:59 2024	1716224219	4	40	44	40
Mon May 20 16:56:59 2024	1716224219	4	41	45	41
Mon May 20 16:56:59 2024	1716224219	4	42	46	42
Mon May 20 16:56:59 2024	1716224219	4	43	47	43
Mon May 20 16:56:59 2024	1716224219	4	43	47	43
Mon May 20 16:56:59 2024	1716224219	4	44	48	44
Mon May 20 16:56:59 2024	1716224219	4	45	49	45
Mon May 20 16:56:59 2024	1716224219	4	45	49	45
Mon May 20 16:56:59 2024	1716224219	4	46	50	46
Mon May 20 16:56:59 2024	1716224219	4	47	51	47
Mon May 20 16:56:59 2024	1716224219	4	47	51	47
Mon May 20 16:56:59 2024	1716224219	4	48	52	48
Mon May 20 16:56:59 2024	1716224219	4	48	52	48
Mon May 20 16:56:59 2024	1716224219	4	49	53	49
Mon May 20 16:56:59 2024	1716224219	4	50	54	50
Mon May 20 16:56:59 2024	1716224219	4	51	55	51
Mon May 20 16:56:59 2024	1716224219	4	51	55	51
Mon May 20 16:56:59 2024	1716224219	4	52	56	52
Mon May 20 16:56:59 2024	1716224219	4	53	57	53
Mon May 20 16:56:59 2024	1716224219	4	54	58	54
Mon May 20 16:56:59 2024	1716224219	4	54	58	54
Mon May 20 16:56:59 2024	1716224219	4	55	59	55
Mon May 20 16:56:59 2024	1716224219	4	56	60	56
Mon May 20 16:56:59 2024	1716224219	4	57	61	57
Mon May 20 16:56:59 2024	1716224219	4	57	61	57
Mon May 20 16:56:59 2024	1716224219	4	58	62	58
Mon May 20 16:56:59 2024	1716224219	4	59	63	59
Mon May 20 16:56:59 2024	1716224219	4	60	64	60
Mon May 20 16:56:59 2024	1716224219	4	60	64	60
Mon May 20 16:56:59 2024	1716224219	4	61	65	61
Mon May 20 16:56:59 2024	1716224219	4	62	66	62
Mon May 20 16:56:59 2024	1716224219	4	63	67	63
Mon May 20 16:56:59 2024	1716224219	4	64	67	64
Mon May 20 16:56:59 2024	1716224219	4	64	68	64
Mon May 20 16:56:59 2024	1716224219	4	65	69	65
Mon May 20 16:56:59 2024	1716224219	4	66	70	66
Mon May 20 16:56:59 2024	1716224219	4	67	71	67
Mon May 20 16:56:59 2024	1716224219	4	68	72	68
Mon May 20 16:56:59 2024	1716224219	4	69	73	69
Mon May 20 16:56:59 2024	1716224219	4	70	74	70
Mon May 20 16:56:59 2024	1716224219	4	71	75	71
Mon May 20 16:56:59 2024	1716224219	4	72	76	72
Mon May 20 16:56:59 2024	1716224219	4	73	77	73
Mon May 20 16:56:59 2024	1716224219	4	73	77	73
Mon May 20 16:56:59 2024	1716224219	4	74	78	74
Mon May 20 16:56:59 2024	1716224219	4	76	80	76
Mon May 20 16:56:59 2024	1716224219	4	75	80	75
Mon May 20 16:56:59 2024	1716224219	4	76	80	76
Mon May 20 16:56:59 2024	1716224219	4	76	80	76
Mon May 20 16:56:59 2024	1716224219	4	76	80	76
Mon May 20 16:56:59 2024	1716224219	5	76	81	76
Mon May 20 16:56:59 2024	1716224219	5	76	81	76
Mon May 20 16:56:59 2024	1716224219	5	77	81	77
Mon May 20 16:56:59 2024	1716224219	5	77	81	77
Mon May 20 16:56:59 2024	1716224219	5	77	82	77
Mon May 20 16:56:59 2024	1716224219	5	77	82	77
Mon May 20 16:56:59 2024	1716224219	5	77	82	77
Mon May 20 16:56:59 2024	1716224219	5	77	82	77
Mon May 20 16:56:59 2024	1716224219	5	77	82	77
Mon May 20 16:56:59 2024	1716224219	5	77	83	77
Mon May 20 16:56:59 2024	1716224219	5	77	83	77
Mon May 20 16:56:59 2024	1716224219	5	78	83	78
Mon May 20 16:56:59 2024	1716224219	6	78	83	78
Mon May 20 16:56:59 2024	1716224219	6	78	83	78
Mon May 20 16:56:59 2024	1716224219	6	78	84	78
Mon May 20 16:56:59 2024	1716224219	6	78	84	78
Mon May 20 16:56:59 2024	1716224219	6	78	84	78
Mon May 20 16:56:59 2024	1716224219	6	78	84	78
Mon May 20 16:56:59 2024	1716224219	6	79	85	79
Mon May 20 16:56:59 2024	1716224219	6	78	85	78
Mon May 20 16:56:59 2024	1716224219	6	79	85	79
Mon May 20 16:56:59 2024	1716224219	6	79	85	79
Mon May 20 16:56:59 2024	1716224219	6	79	85	79
Mon May 20 16:56:59 2024	1716224219	6	79	85	79
Mon May 20 16:56:59 2024	1716224219	6	79	86	79
Mon May 20 16:56:59 2024	1716224219	7	79	86	79
Mon May 20 16:56:59 2024	1716224219	7	79	86	79
Mon May 20 16:56:59 2024	1716224219	7	79	86	79
Mon May 20 16:56:59 2024	1716224219	7	80	87	80
Mon May 20 16:56:59 2024	1716224219	7	80	87	80
Mon May 20 16:56:59 2024	1716224219	7	80	87	80
Mon May 20 16:56:59 2024	1716224219	7	80	87	80
Mon May 20 16:56:59 2024	1716224219	7	80	87	80
Mon May 20 16:56:59 2024	1716224219	7	80	88	80
Mon May 20 16:56:59 2024	1716224219	7	80	88	80
Mon May 20 16:56:59 2024	1716224219	8	81	88	81
Mon May 20 16:56:59 2024	1716224219	8	81	88	81
Mon May 20 16:56:59 2024	1716224219	8	81	88	81
Mon May 20 16:56:59 2024	1716224219	8	81	89	81
Mon May 20 16:56:59 2024	1716224219	8	81	89	81
Mon May 20 16:56:59 2024	1716224219	8	81	89	81
Mon May 20 16:56:59 2024	1716224219	8	81	90	81
Mon May 20 16:56:59 2024	1716224219	8	82	90	82
Mon May 20 16:56:59 2024	1716224219	8	82	90	82
Mon May 20 16:56:59 2024	1716224219	8	82	90	82
Mon May 20 16:56:59 2024	1716224219	9	82	90	82
Mon May 20 16:56:59 2024	1716224219	9	82	90	82
Mon May 20 16:56:59 2024	1716224219	9	82	91	82
Mon May 20 16:56:59 2024	1716224219	9	82	91	82
Mon May 20 16:56:59 2024	1716224219	9	83	92	83
Mon May 20 16:56:59 2024	1716224219	9	82	92	82
Mon May 20 16:56:59 2024	1716224219	9	82	92	82
Mon May 20 16:56:59 2024	1716224219	9	83	92	82
Mon May 20 16:56:59 2024	1716224219	9	83	92	83
Mon May 20 16:56:59 2024	1716224219	10	83	92	83
Mon May 20 16:56:59 2024	1716224219	10	83	93	83
Mon May 20 16:56:59 2024	1716224219	10	83	93	83
Mon May 20 16:56:59 2024	1716224219	10	83	93	83
Mon May 20 16:56:59 2024	1716224219	10	83	93	83
Mon May 20 16:56:59 2024	1716224219	10	83	93	83
Mon May 20 16:56:59 2024	1716224219	10	83	94	83
Mon May 20 16:56:59 2024	1716224219	10	84	94	84
Mon May 20 16:56:59 2024	1716224219	10	84	94	84
Mon May 20 16:56:59 2024	1716224219	11	84	94	84
Mon May 20 16:56:59 2024	1716224219	11	84	94	84
Mon May 20 16:56:59 2024	1716224219	11	84	95	84
Mon May 20 16:56:59 2024	1716224219	11	84	95	84
Mon May 20 16:56:59 2024	1716224219	11	84	95	84
Mon May 20 16:56:59 2024	1716224219	11	84	95	84
Mon May 20 16:56:59 2024	1716224219	11	85	96	85
Mon May 20 16:56:59 2024	1716224219	11	84	96	84
Mon May 20 16:56:59 2024	1716224219	11	85	96	85
Mon May 20 16:56:59 2024	1716224219	12	85	96	85
Mon May 20 16:56:59 2024	1716224219	12	85	96	85
Mon May 20 16:56:59 2024	1716224219	12	85	97	85
Mon May 20 16:56:59 2024	1716224219	12	85	97	85
Mon May 20 16:56:59 2024	1716224219	12	85	97	85
Mon May 20 16:56:59 2024	1716224219	12	85	97	85
Mon May 20 16:56:59 2024	1716224219	12	85	98	85
Mon May 20 16:56:59 2024	1716224219	12	85	98	85
Mon May 20 16:56:59 2024	1716224219	12	86	98	86
Mon May 20 16:56:59 2024	1716224219	12	86	98	86
Mon May 20 16:56:59 2024	1716224219	13	86	98	86
Mon May 20 16:56:59 2024	1716224219	13	86	98	86
Mon May 20 16:56:59 2024	1716224219	13	86	99	86
Mon May 20 16:56:59 2024	1716224219	13	86	99	86
Mon May 20 16:56:59 2024	1716224219	13	86	99	86
Mon May 20 16:56:59 2024	1716224219	13	86	99	86
Mon May 20 16:56:59 2024	1716224219	13	86	100	86
Mon May 20 16:56:59 2024	1716224219	13	87	100	87
Mon May 20 16:56:59 2024	1716224219	14	86	100	86
Mon May 20 16:56:59 2024	1716224219	14	86	100	86
Mon May 20 16:56:59 2024	1716224219	14	86	100	86
Mon May 20 16:56:59 2024	1716224219	14	87	101	87
Mon May 20 16:56:59 2024	1716224219	14	87	101	87
Mon May 20 16:56:59 2024	1716224219	14	87	101	87
Mon May 20 16:56:59 2024	1716224219	14	87	101	87
Mon May 20 16:56:59 2024	1716224219	15	87	101	87
Mon May 20 16:56:59 2024	1716224219	15	87	102	87
Mon May 20 16:56:59 2024	1716224219	15	87	102	87
Mon May 20 16:56:59 2024	1716224219	15	87	102	87
Mon May 20 16:56:59 2024	1716224219	15	87	102	87
Mon May 20 16:56:59 2024	1716224219	15	88	103	88
Mon May 20 16:56:59 2024	1716224219	15	88	103	88
Mon May 20 16:56:59 2024	1716224219	15	88	103	88
Mon May 20 16:56:59 2024	1716224219	15	88	103	88
Mon May 20 16:56:59 2024	1716224219	15	88	103	88
Mon May 20 16:56:59 2024	1716224219	15	88	104	88
Mon May 20 16:56:59 2024	1716224219	15	88	104	88
Mon May 20 16:56:59 2024	1716224219	16	88	104	88
Mon May 20 16:56:59 2024	1716224219	16	88	104	88
Mon May 20 16:56:59 2024	1716224219	16	88	104	88
Mon May 20 16:56:59 2024	1716224219	16	88	105	88
Mon May 20 16:56:59 2024	1716224219	16	89	105	89
Mon May 20 16:56:59 2024	1716224219	16	89	105	89
Mon May 20 16:56:59 2024	1716224219	16	89	105	89
Mon May 20 16:56:59 2024	1716224219	17	89	105	89
Mon May 20 16:56:59 2024	1716224219	17	89	106	89
Mon May 20 16:56:59 2024	1716224219	17	89	106	89
Mon May 20 16:56:59 2024	1716224219	17	89	106	89
Mon May 20 16:56:59 2024	1716224219	17	89	106	89
Mon May 20 16:56:59 2024	1716224219	17	89	107	89
Mon May 20 16:56:59 2024	1716224219	18	89	107	89
Mon May 20 16:56:59 2024	1716224219	18	89	107	89
Mon May 20 16:56:59 2024	1716224219	18	90	107	90
Mon May 20 16:56:59 2024	1716224219	18	90	108	90
Mon May 20 16:56:59 2024	1716224219	18	90	108	90
Mon May 20 16:56:59 2024	1716224219	18	90	108	90
Mon May 20 16:56:59 2024	1716224219	18	90	108	90
Mon May 20 16:56:59 2024	1716224219	19	90	108	90
Mon May 20 16:56:59 2024	1716224219	19	90	109	90
Mon May 20 16:56:59 2024	1716224219	19	90	109	90
Mon May 20 16:56:59 2024	1716224219	19	90	109	90
Mon May 20 16:56:59 2024	1716224219	19	90	109	90
Mon May 20 16:56:59 2024	1716224219	19	90	109	90
Mon May 20 16:56:59 2024	1716224219	19	90	110	90
Mon May 20 16:56:59 2024	1716224219	19	90	110	90
Mon May 20 16:56:59 2024	1716224219	20	90	110	90
Mon May 20 16:56:59 2024	1716224219	20	91	110	91
Mon May 20 16:56:59 2024	1716224219	20	91	110	91
Mon May 20 16:56:59 2024	1716224219	20	91	111	91
Mon May 20 16:56:59 2024	1716224219	20	91	111	91
Mon May 20 16:56:59 2024	1716224219	20	91	111	91
Mon May 20 16:56:59 2024	1716224219	20	91	111	91
Mon May 20 16:56:59 2024	1716224219	21	91	112	91
Mon May 20 16:56:59 2024	1716224219	21	91	112	91
Mon May 20 16:56:59 2024	1716224219	21	91	112	91
Mon May 20 16:56:59 2024	1716224219	21	92	112	92
Mon May 20 16:56:59 2024	1716224219	21	92	112	92
Mon May 20 16:56:59 2024	1716224219	21	91	113	91
Mon May 20 16:56:59 2024	1716224219	21	91	113	91
Mon May 20 16:56:59 2024	1716224219	21	92	113	92
Mon May 20 16:56:59 2024	1716224219	21	92	113	92
Mon May 20 16:56:59 2024	1716224219	22	92	113	92
Mon May 20 16:56:59 2024	1716224219	22	92	114	92
Mon May 20 16:56:59 2024	1716224219	22	92	114	92
Mon May 20 16:56:59 2024	1716224219	22	92	114	92
Mon May 20 16:56:59 2024	1716224219	22	92	114	92
Mon May 20 16:56:59 2024	1716224219	22	92	115	92
Mon May 20 16:56:59 2024	1716224219	22	92	115	92
Mon May 20 16:56:59 2024	1716224219	22	92	115	92
Mon May 20 16:56:59 2024	1716224219	23	92	115	92
Mon May 20 16:56:59 2024	1716224219	23	93	115	93
Mon May 20 16:56:59 2024	1716224219	23	92	115	92
Mon May 20 16:56:59 2024	1716224219	23	92	116	92
Mon May 20 16:56:59 2024	1716224219	23	92	116	92
Mon May 20 16:56:59 2024	1716224219	24	93	116	93
Mon May 20 16:56:59 2024	1716224219	24	93	116	93
Mon May 20 16:56:59 2024	1716224219	24	93	116	93
Mon May 20 16:56:59 2024	1716224219	24	92	117	92
Mon May 20 16:56:59 2024	1716224219	25	93	117	93
Mon May 20 16:56:59 2024	1716224219	25	93	117	93
Mon May 20 16:56:59 2024	1716224219	25	93	117	93
Mon May 20 16:56:59 2024	1716224219	25	93	118	93
Mon May 20 16:56:59 2024	1716224219	25	93	118	93
Mon May 20 16:56:59 2024	1716224219	26	93	118	93
Mon May 20 16:56:59 2024	1716224219	26	93	119	93
Mon May 20 16:56:59 2024	1716224219	26	93	119	93
Mon May 20 16:56:59 2024	1716224219	26	93	119	93
Mon May 20 16:56:59 2024	1716224219	26	93	119	93
Mon May 20 16:56:59 2024	1716224219	27	93	120	93
Mon May 20 16:56:59 2024	1716224219	27	93	120	93
Mon May 20 16:56:59 2024	1716224219	27	93	120	93
Mon May 20 16:56:59 2024	1716224219	27	93	120	93
Mon May 20 16:56:59 2024	1716224219	27	93	121	93
Mon May 20 16:56:59 2024	1716224219	27	93	121	93
Mon May 20 16:56:59 2024	1716224219	27	93	121	93
Mon May 20 16:56:59 2024	1716224219	28	93	121	93
Mon May 20 16:56:59 2024	1716224219	28	93	121	93
Mon May 20 16:56:59 2024	1716224219	28	93	122	93
Mon May 20 16:56:59 2024	1716224219	28	93	122	93
Mon May 20 16:56:59 2024	1716224219	28	93	122	93
Mon May 20 16:56:59 2024	1716224219	29	94	122	94
Mon May 20 16:56:59 2024	1716224219	29	93	123	93
Mon May 20 16:56:59 2024	1716224219	29	93	123	93
Mon May 20 16:56:59 2024	1716224219	29	94	123	94
Mon May 20 16:56:59 2024	1716224219	30	94	123	94
Mon May 20 16:56:59 2024	1716224219	30	94	123	94
Mon May 20 16:56:59 2024	1716224219	30	94	124	94
Mon May 20 16:56:59 2024	1716224219	31	94	124	94
Mon May 20 16:56:59 2024	1716224219	31	94	124	94
Mon May 20 16:56:59 2024	1716224219	31	94	125	94
Mon May 20 16:56:59 2024	1716224219	31	94	125	94
Mon May 20 16:56:59 2024	1716224219	31	94	125	94
Mon May 20 16:56:59 2024	1716224219	31	94	125	94
Mon May 20 16:56:59 2024	1716224219	32	94	125	94
Mon May 20 16:56:59 2024	1716224219	32	94	126	94
Mon May 20 16:56:59 2024	1716224219	32	94	126	94
Mon May 20 16:56:59 2024	1716224219	32	94	126	94
Mon May 20 16:56:59 2024	1716224219	32	94	126	94
Mon May 20 16:56:59 2024	1716224219	32	94	126	94
Mon May 20 16:56:59 2024	1716224219	32	94	127	94
Mon May 20 16:56:59 2024	1716224219	33	94	127	94
Mon May 20 16:56:59 2024	1716224219	33	94	127	94
Mon May 20 16:56:59 2024	1716224219	33	94	127	94
Mon May 20 16:56:59 2024	1716224219	33	94	128	94
Mon May 20 16:56:59 2024	1716224219	33	94	128	94
Mon May 20 16:56:59 2024	1716224219	33	95	128	95
Mon May 20 16:56:59 2024	1716224219	34	95	128	95
Mon May 20 16:56:59 2024	1716224219	34	94	128	94
Mon May 20 16:56:59 2024	1716224219	34	94	129	94
Mon May 20 16:56:59 2024	1716224219	34	94	129	94
Mon May 20 16:56:59 2024	1716224219	35	94	129	94
Mon May 20 16:56:59 2024	1716224219	35	95	129	95
Mon May 20 16:56:59 2024	1716224219	35	95	130	95
Mon May 20 16:56:59 2024	1716224219	36	94	130	94
Mon May 20 16:56:59 2024	1716224219	36	94	130	94
Mon May 20 16:56:59 2024	1716224219	36	94	130	94
Mon May 20 16:56:59 2024	1716224219	36	94	130	94
Mon May 20 16:56:59 2024	1716224219	36	95	131	95
Mon May 20 16:56:59 2024	1716224219	36	95	131	95
Mon May 20 16:56:59 2024	1716224219	36	95	131	95
Mon May 20 16:56:59 2024	1716224219	37	94	131	94
Mon May 20 16:56:59 2024	1716224219	37	94	131	94
Mon May 20 16:56:59 2024	1716224219	37	94	132	94
Mon May 20 16:56:59 2024	1716224219	37	95	132	95
Mon May 20 16:56:59 2024	1716224219	37	95	132	95
Mon May 20 16:56:59 2024	1716224219	37	95	132	95
Mon May 20 16:56:59 2024	1716224219	38	94	133	94
Mon May 20 16:56:59 2024	1716224219	38	94	133	94
Mon May 20 16:56:59 2024	1716224219	39	95	133	95
Mon May 20 16:56:59 2024	1716224219	39	95	133	95
Mon May 20 16:56:59 2024	1716224219	39	95	134	95
Mon May 20 16:56:59 2024	1716224219	39	95	134	95
Mon May 20 16:56:59 2024	1716224219	39	95	134	95
Mon May 20 16:56:59 2024	1716224219	40	94	134	94
Mon May 20 16:56:59 2024	1716224219	40	95	134	95
Mon May 20 16:56:59 2024	1716224219	40	95	135	95
Mon May 20 16:56:59 2024	1716224219	40	95	135	95
Mon May 20 16:56:59 2024	1716224219	40	95	135	95
Mon May 20 16:56:59 2024	1716224219	40	95	135	95
Mon May 20 16:56:59 2024	1716224219	40	95	135	95
Mon May 20 16:56:59 2024	1716224219	41	95	136	95
Mon May 20 16:56:59 2024	1716224219	41	95	136	95
Mon May 20 16:56:59 2024	1716224219	41	95	136	95
Mon May 20 16:56:59 2024	1716224219	41	95	136	95
Mon May 20 16:56:59 2024	1716224219	42	95	137	95
Mon May 20 16:56:59 2024	1716224219	42	95	137	95
Mon May 20 16:56:59 2024	1716224219	42	95	137	95
