Percentage served,Time in ms
0,114.236
1,149.647
2,162.582
3,175.823
4,189.317
5,202.395
6,215.670
7,228.914
8,238.198
9,247.211
10,251.177
11,252.511
12,253.533
13,253.948
14,254.145
15,254.316
16,254.461
17,254.670
18,254.880
19,254.970
20,255.110
21,255.265
22,255.407
23,255.537
24,255.671
25,255.793
26,255.977
27,256.153
28,256.290
29,256.604
30,256.929
31,257.250
32,257.432
33,257.735
34,257.964
35,258.159
36,258.496
37,259.130
38,259.440
39,259.892
40,263.266
41,265.452
42,266.173
43,267.334
44,267.992
45,268.891
46,269.401
47,269.735
48,270.003
49,270.128
50,270.299
51,270.420
52,270.573
53,270.743
54,270.867
55,271.008
56,271.162
57,271.319
58,271.554
59,271.751
60,271.998
61,272.401
62,274.917
63,275.155
64,275.277
65,275.440
66,275.588
67,275.650
68,275.725
69,275.847
70,275.944
71,275.977
72,276.014
73,276.078
74,276.243
75,276.328
76,276.384
77,276.650
78,393.398
79,426.449
80,463.853
81,507.845
82,541.473
83,627.613
84,667.175
85,677.445
86,687.002
87,697.634
88,719.407
89,817.331
90,856.590
91,900.159
92,931.579
93,963.039
94,971.470
95,1100.583
96,1276.164
97,1402.662
98,1579.911
99,2021.459
100,2551.814
