starttime	seconds	ctime	dtime	ttime	wait
Mon May 20 17:01:51 2024	1716224511	25	112	137	112
Mon May 20 17:01:51 2024	1716224511	25	114	139	114
Mon May 20 17:01:51 2024	1716224511	25	116	141	116
Mon May 20 17:01:51 2024	1716224511	25	118	143	118
Mon May 20 17:01:50 2024	1716224510	71	73	143	48
Mon May 20 17:01:51 2024	1716224511	25	120	145	120
Mon May 20 17:01:51 2024	1716224511	25	120	145	120
Mon May 20 17:01:51 2024	1716224511	25	120	145	120
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	121	146	121
Mon May 20 17:01:51 2024	1716224511	25	122	146	122
Mon May 20 17:01:51 2024	1716224511	25	122	147	122
Mon May 20 17:01:51 2024	1716224511	25	122	147	122
Mon May 20 17:01:51 2024	1716224511	26	121	147	121
Mon May 20 17:01:51 2024	1716224511	25	122	147	122
Mon May 20 17:01:51 2024	1716224511	26	121	147	121
Mon May 20 17:01:51 2024	1716224511	26	121	147	121
Mon May 20 17:01:51 2024	1716224511	27	121	148	121
Mon May 20 17:01:51 2024	1716224511	27	121	148	121
Mon May 20 17:01:51 2024	1716224511	27	121	148	121
Mon May 20 17:01:51 2024	1716224511	27	121	148	121
Mon May 20 17:01:51 2024	1716224511	27	122	149	122
Mon May 20 17:01:51 2024	1716224511	28	121	149	121
Mon May 20 17:01:51 2024	1716224511	28	121	149	121
Mon May 20 17:01:51 2024	1716224511	28	121	149	121
Mon May 20 17:01:51 2024	1716224511	28	121	149	121
Mon May 20 17:01:51 2024	1716224511	28	121	150	121
Mon May 20 17:01:51 2024	1716224511	28	122	150	122
Mon May 20 17:01:51 2024	1716224511	28	122	150	122
Mon May 20 17:01:51 2024	1716224511	28	122	150	122
Mon May 20 17:01:51 2024	1716224511	29	121	151	121
Mon May 20 17:01:51 2024	1716224511	29	121	151	121
Mon May 20 17:01:51 2024	1716224511	30	122	151	122
Mon May 20 17:01:51 2024	1716224511	30	122	151	122
Mon May 20 17:01:51 2024	1716224511	30	122	152	122
Mon May 20 17:01:51 2024	1716224511	30	122	152	122
Mon May 20 17:01:51 2024	1716224511	30	122	152	122
Mon May 20 17:01:51 2024	1716224511	30	122	152	122
Mon May 20 17:01:51 2024	1716224511	31	122	152	122
Mon May 20 17:01:51 2024	1716224511	31	122	153	122
Mon May 20 17:01:51 2024	1716224511	31	122	153	122
Mon May 20 17:01:51 2024	1716224511	31	122	153	122
Mon May 20 17:01:51 2024	1716224511	31	122	153	122
Mon May 20 17:01:51 2024	1716224511	31	122	154	122
