Percentage served,Time in ms
0,5.466
1,5.475
2,7.734
3,13.857
4,20.824
5,28.662
6,37.369
7,47.433
8,52.247
9,54.908
10,57.945
11,60.951
12,63.933
13,66.732
14,70.036
15,73.020
16,75.502
17,76.832
18,77.805
19,79.721
20,80.726
21,81.770
22,83.092
23,83.987
24,85.138
25,86.133
26,87.285
27,88.279
28,89.204
29,90.361
30,91.356
31,92.618
32,94.000
33,94.964
34,95.945
35,97.162
36,98.551
37,98.886
38,99.002
39,99.116
40,99.194
41,99.258
42,99.327
43,99.412
44,99.608
45,99.673
46,99.789
47,99.856
48,100.435
49,100.482
50,100.539
51,100.619
52,100.818
53,101.019
54,101.192
55,101.278
56,101.334
57,101.390
58,101.515
59,101.623
60,101.692
61,101.811
62,102.196
63,102.271
64,102.305
65,102.326
66,102.362
67,102.446
68,102.922
69,103.322
70,103.427
71,103.484
72,103.509
73,103.549
74,103.575
75,103.606
76,103.770
77,103.847
78,103.893
79,103.930
80,103.997
81,104.039
82,104.097
83,104.561
84,104.860
85,105.052
86,105.198
87,105.385
88,105.463
89,105.533
90,105.674
91,106.374
92,106.535
93,106.817
94,107.498
95,270.138
96,279.488
97,293.876
98,307.591
99,326.677
100,348.389
