Percentage served,Time in ms
0,2.589
1,33.997
2,44.136
3,54.274
4,64.168
5,82.828
6,82.901
7,83.059
8,84.157
9,84.199
10,84.274
11,84.414
12,84.783
13,85.164
14,86.994
15,87.253
16,87.673
17,88.075
18,88.199
19,88.257
20,88.302
21,88.376
22,88.401
23,88.415
24,88.439
25,88.470
26,88.496
27,88.510
28,88.522
29,88.535
30,88.549
31,88.561
32,88.576
33,88.589
34,88.609
35,88.642
36,88.665
37,88.690
38,88.705
39,88.715
40,88.731
41,88.751
42,88.768
43,88.796
44,88.868
45,88.951
46,88.980
47,89.006
48,89.019
49,89.048
50,89.074
51,89.156
52,89.185
53,89.208
54,89.250
55,89.314
56,89.378
57,89.420
58,89.443
59,89.470
60,89.496
61,89.522
62,89.543
63,89.557
64,89.568
65,89.579
66,89.589
67,89.601
68,89.627
69,89.641
70,89.663
71,89.689
72,89.741
73,89.780
74,89.805
75,89.849
76,89.874
77,89.918
78,89.949
79,89.986
80,90.042
81,90.103
82,90.125
83,90.144
84,90.174
85,90.203
86,90.220
87,90.238
88,90.273
89,90.299
90,90.325
91,90.378
92,90.475
93,90.596
94,91.094
95,91.279
96,91.984
97,92.169
98,92.216
99,92.305
100,1352.466
