starttime	seconds	ctime	dtime	ttime	wait
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
Tue May 21 20:04:57 2024	1716321897	5	1	5	0
