Percentage served,Time in ms
0,2.394
1,2.746
2,2.758
3,3.040
4,4.727
5,6.739
6,8.865
7,11.493
8,14.480
9,17.032
10,18.111
11,19.180
12,20.247
13,21.222
14,22.210
15,23.163
16,23.784
17,24.428
18,25.157
19,26.560
20,27.059
21,27.282
22,27.302
23,27.414
24,27.479
25,27.541
26,27.587
27,27.603
28,27.631
29,27.672
30,27.704
31,27.713
32,27.773
33,27.794
34,27.873
35,27.972
36,28.033
37,28.071
38,28.090
39,28.155
40,28.187
41,28.203
42,28.213
43,28.219
44,28.233
45,28.243
46,28.255
47,28.264
48,28.281
49,28.311
50,28.364
51,28.410
52,28.432
53,28.447
54,28.472
55,28.497
56,28.516
57,28.523
58,28.536
59,28.544
60,28.552
61,28.561
62,28.571
63,28.586
64,28.593
65,28.599
66,28.610
67,28.616
68,28.626
69,28.658
70,28.693
71,28.731
72,28.764
73,28.809
74,28.833
75,28.856
76,28.893
77,28.921
78,28.947
79,28.988
80,29.096
81,29.152
82,29.385
83,29.588
84,29.738
85,30.096
86,30.464
87,30.506
88,31.040
89,31.132
90,31.171
91,31.492
92,31.513
93,31.525
94,31.543
95,31.621
96,31.675
97,31.752
98,32.502
99,33.452
100,34.177
