starttime	seconds	ctime	dtime	ttime	wait
Tue May 21 20:01:32 2024	1716321692	0	5	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	0	5	0
Tue May 21 20:01:32 2024	1716321692	5	0	5	0
Tue May 21 20:01:32 2024	1716321692	4	1	5	1
Tue May 21 20:01:32 2024	1716321692	4	1	5	1
Tue May 21 20:01:32 2024	1716321692	4	1	5	1
Tue May 21 20:01:32 2024	1716321692	4	1	5	1
Tue May 21 20:01:32 2024	1716321692	4	1	5	1
Tue May 21 20:01:32 2024	1716321692	4	1	6	1
Tue May 21 20:01:32 2024	1716321692	4	1	6	1
Tue May 21 20:01:32 2024	1716321692	4	2	6	2
Tue May 21 20:01:32 2024	1716321692	4	2	6	2
Tue May 21 20:01:32 2024	1716321692	4	2	6	2
Tue May 21 20:01:32 2024	1716321692	4	2	7	2
Tue May 21 20:01:32 2024	1716321692	4	2	7	2
Tue May 21 20:01:32 2024	1716321692	4	2	7	2
Tue May 21 20:01:32 2024	1716321692	4	3	7	3
Tue May 21 20:01:32 2024	1716321692	4	3	7	3
Tue May 21 20:01:32 2024	1716321692	4	3	7	3
Tue May 21 20:01:32 2024	1716321692	4	3	8	3
Tue May 21 20:01:32 2024	1716321692	4	4	8	4
Tue May 21 20:01:32 2024	1716321692	4	4	8	4
Tue May 21 20:01:32 2024	1716321692	4	4	8	4
Tue May 21 20:01:32 2024	1716321692	4	4	8	4
Tue May 21 20:01:32 2024	1716321692	4	4	9	4
Tue May 21 20:01:32 2024	1716321692	4	5	9	5
Tue May 21 20:01:32 2024	1716321692	4	5	9	5
Tue May 21 20:01:32 2024	1716321692	4	5	9	5
Tue May 21 20:01:32 2024	1716321692	4	5	9	5
Tue May 21 20:01:32 2024	1716321692	4	5	10	5
Tue May 21 20:01:32 2024	1716321692	4	5	10	5
Tue May 21 20:01:32 2024	1716321692	4	6	10	6
Tue May 21 20:01:32 2024	1716321692	4	6	10	6
Tue May 21 20:01:32 2024	1716321692	4	6	10	6
Tue May 21 20:01:32 2024	1716321692	4	6	11	6
Tue May 21 20:01:32 2024	1716321692	4	7	11	7
Tue May 21 20:01:32 2024	1716321692	4	7	11	7
Tue May 21 20:01:32 2024	1716321692	4	7	11	7
Tue May 21 20:01:32 2024	1716321692	4	7	12	7
Tue May 21 20:01:32 2024	1716321692	4	8	12	8
Tue May 21 20:01:32 2024	1716321692	4	8	12	8
Tue May 21 20:01:32 2024	1716321692	4	8	12	8
Tue May 21 20:01:32 2024	1716321692	4	8	12	8
Tue May 21 20:01:32 2024	1716321692	4	8	13	8
Tue May 21 20:01:32 2024	1716321692	4	9	13	9
Tue May 21 20:01:32 2024	1716321692	4	9	14	9
Tue May 21 20:01:32 2024	1716321692	4	9	14	9
Tue May 21 20:01:32 2024	1716321692	4	10	14	10
Tue May 21 20:01:32 2024	1716321692	4	10	14	10
Tue May 21 20:01:32 2024	1716321692	4	10	14	10
Tue May 21 20:01:32 2024	1716321692	4	10	15	10
Tue May 21 20:01:32 2024	1716321692	4	11	15	11
Tue May 21 20:01:32 2024	1716321692	4	11	15	11
Tue May 21 20:01:32 2024	1716321692	4	11	15	11
Tue May 21 20:01:32 2024	1716321692	4	11	16	11
Tue May 21 20:01:32 2024	1716321692	4	12	16	12
Tue May 21 20:01:32 2024	1716321692	4	12	16	12
Tue May 21 20:01:32 2024	1716321692	4	12	16	12
Tue May 21 20:01:32 2024	1716321692	4	12	17	12
Tue May 21 20:01:32 2024	1716321692	4	13	17	13
Tue May 21 20:01:32 2024	1716321692	4	13	17	13
Tue May 21 20:01:32 2024	1716321692	4	13	17	13
Tue May 21 20:01:32 2024	1716321692	4	13	17	13
Tue May 21 20:01:32 2024	1716321692	4	13	18	13
Tue May 21 20:01:32 2024	1716321692	4	14	18	14
Tue May 21 20:01:32 2024	1716321692	4	14	18	14
Tue May 21 20:01:32 2024	1716321692	4	14	18	14
Tue May 21 20:01:32 2024	1716321692	4	14	19	14
Tue May 21 20:01:32 2024	1716321692	4	15	19	15
Tue May 21 20:01:32 2024	1716321692	4	15	19	15
Tue May 21 20:01:32 2024	1716321692	4	15	19	15
Tue May 21 20:01:32 2024	1716321692	4	15	20	15
Tue May 21 20:01:32 2024	1716321692	4	16	20	16
Tue May 21 20:01:32 2024	1716321692	4	16	20	16
Tue May 21 20:01:32 2024	1716321692	4	16	20	16
Tue May 21 20:01:32 2024	1716321692	4	16	20	16
Tue May 21 20:01:32 2024	1716321692	4	17	21	17
Tue May 21 20:01:32 2024	1716321692	4	17	21	17
Tue May 21 20:01:32 2024	1716321692	4	17	21	17
Tue May 21 20:01:32 2024	1716321692	4	17	22	17
Tue May 21 20:01:32 2024	1716321692	4	18	22	18
Tue May 21 20:01:32 2024	1716321692	4	18	22	18
Tue May 21 20:01:32 2024	1716321692	4	18	22	18
Tue May 21 20:01:32 2024	1716321692	4	19	23	19
Tue May 21 20:01:32 2024	1716321692	4	19	23	19
Tue May 21 20:01:32 2024	1716321692	4	19	23	19
Tue May 21 20:01:32 2024	1716321692	4	19	23	19
Tue May 21 20:01:32 2024	1716321692	4	19	23	19
Tue May 21 20:01:32 2024	1716321692	4	20	24	20
Tue May 21 20:01:32 2024	1716321692	4	20	24	20
Tue May 21 20:01:32 2024	1716321692	4	20	24	20
Tue May 21 20:01:32 2024	1716321692	4	20	24	20
Tue May 21 20:01:32 2024	1716321692	4	21	25	21
Tue May 21 20:01:32 2024	1716321692	4	21	25	21
Tue May 21 20:01:32 2024	1716321692	4	21	25	21
Tue May 21 20:01:32 2024	1716321692	4	22	26	22
Tue May 21 20:01:32 2024	1716321692	4	22	26	22
Tue May 21 20:01:32 2024	1716321692	4	22	26	22
Tue May 21 20:01:32 2024	1716321692	4	22	26	22
Tue May 21 20:01:32 2024	1716321692	4	23	27	23
Tue May 21 20:01:32 2024	1716321692	4	23	27	23
Tue May 21 20:01:32 2024	1716321692	4	23	27	23
Tue May 21 20:01:32 2024	1716321692	4	23	27	23
Tue May 21 20:01:32 2024	1716321692	4	24	28	24
Tue May 21 20:01:32 2024	1716321692	4	24	28	24
Tue May 21 20:01:32 2024	1716321692	4	24	28	24
Tue May 21 20:01:32 2024	1716321692	4	24	28	24
Tue May 21 20:01:32 2024	1716321692	4	25	29	25
Tue May 21 20:01:32 2024	1716321692	4	25	29	25
Tue May 21 20:01:32 2024	1716321692	4	25	29	25
Tue May 21 20:01:32 2024	1716321692	4	26	30	26
Tue May 21 20:01:32 2024	1716321692	4	26	30	26
Tue May 21 20:01:32 2024	1716321692	4	26	30	26
Tue May 21 20:01:32 2024	1716321692	4	27	31	27
Tue May 21 20:01:32 2024	1716321692	4	27	31	27
Tue May 21 20:01:32 2024	1716321692	4	27	31	27
Tue May 21 20:01:32 2024	1716321692	4	28	31	28
Tue May 21 20:01:32 2024	1716321692	4	28	32	28
Tue May 21 20:01:32 2024	1716321692	4	28	32	28
Tue May 21 20:01:32 2024	1716321692	4	28	32	28
Tue May 21 20:01:32 2024	1716321692	4	29	33	29
Tue May 21 20:01:32 2024	1716321692	4	29	33	29
Tue May 21 20:01:32 2024	1716321692	4	29	33	29
Tue May 21 20:01:32 2024	1716321692	4	30	34	30
Tue May 21 20:01:32 2024	1716321692	4	30	34	30
Tue May 21 20:01:32 2024	1716321692	4	30	34	30
Tue May 21 20:01:32 2024	1716321692	4	30	34	30
Tue May 21 20:01:32 2024	1716321692	4	31	35	31
Tue May 21 20:01:32 2024	1716321692	4	31	35	31
Tue May 21 20:01:32 2024	1716321692	4	31	35	31
Tue May 21 20:01:32 2024	1716321692	4	31	35	31
Tue May 21 20:01:32 2024	1716321692	4	32	36	32
Tue May 21 20:01:32 2024	1716321692	4	32	36	32
Tue May 21 20:01:32 2024	1716321692	4	32	36	32
Tue May 21 20:01:32 2024	1716321692	4	33	36	33
Tue May 21 20:01:32 2024	1716321692	4	33	37	33
Tue May 21 20:01:32 2024	1716321692	4	33	37	33
Tue May 21 20:01:32 2024	1716321692	4	33	37	33
Tue May 21 20:01:32 2024	1716321692	4	34	38	34
Tue May 21 20:01:32 2024	1716321692	4	34	38	34
Tue May 21 20:01:32 2024	1716321692	4	34	38	34
Tue May 21 20:01:32 2024	1716321692	4	35	38	35
Tue May 21 20:01:32 2024	1716321692	4	35	39	35
Tue May 21 20:01:32 2024	1716321692	4	35	39	35
Tue May 21 20:01:32 2024	1716321692	4	35	39	35
Tue May 21 20:01:32 2024	1716321692	4	35	40	35
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	4	36	40	36
Tue May 21 20:01:32 2024	1716321692	5	36	40	36
Tue May 21 20:01:32 2024	1716321692	5	36	40	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	6	36	41	36
Tue May 21 20:01:32 2024	1716321692	5	36	41	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	42	36
Tue May 21 20:01:32 2024	1716321692	6	36	43	36
Tue May 21 20:01:32 2024	1716321692	6	36	43	36
Tue May 21 20:01:32 2024	1716321692	6	36	43	36
Tue May 21 20:01:32 2024	1716321692	6	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	7	36	43	36
Tue May 21 20:01:32 2024	1716321692	8	36	44	36
Tue May 21 20:01:32 2024	1716321692	8	36	44	36
Tue May 21 20:01:32 2024	1716321692	8	36	44	36
Tue May 21 20:01:32 2024	1716321692	8	36	44	36
Tue May 21 20:01:32 2024	1716321692	8	36	44	36
Tue May 21 20:01:32 2024	1716321692	8	36	44	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	45	36
Tue May 21 20:01:32 2024	1716321692	9	36	46	36
Tue May 21 20:01:32 2024	1716321692	9	36	46	36
Tue May 21 20:01:32 2024	1716321692	9	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	46	36
Tue May 21 20:01:32 2024	1716321692	10	36	47	36
Tue May 21 20:01:32 2024	1716321692	10	36	47	36
Tue May 21 20:01:32 2024	1716321692	10	36	47	36
Tue May 21 20:01:32 2024	1716321692	10	36	47	36
Tue May 21 20:01:32 2024	1716321692	10	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	37	47	37
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	47	36
Tue May 21 20:01:32 2024	1716321692	11	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	36	48	36
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	12	37	49	37
Tue May 21 20:01:32 2024	1716321692	13	37	49	37
Tue May 21 20:01:32 2024	1716321692	13	37	49	37
Tue May 21 20:01:32 2024	1716321692	13	37	49	37
Tue May 21 20:01:32 2024	1716321692	13	37	49	37
Tue May 21 20:01:32 2024	1716321692	13	37	49	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
Tue May 21 20:01:32 2024	1716321692	13	37	50	37
