Percentage served,Time in ms
0,2.671
1,13.479
2,32.731
3,39.103
4,45.585
5,52.102
6,58.912
7,64.967
8,71.324
9,80.038
10,92.165
11,92.307
12,92.370
13,92.389
14,92.411
15,92.428
16,92.483
17,92.604
18,92.717
19,93.151
20,93.178
21,93.769
22,94.100
23,94.704
24,95.605
25,95.767
26,96.038
27,96.824
28,96.894
29,96.921
30,97.292
31,98.712
32,101.869
33,101.928
34,103.300
35,103.317
36,103.357
37,103.505
38,103.562
39,103.616
40,103.663
41,103.704
42,103.734
43,103.761
44,103.804
45,103.821
46,103.835
47,103.851
48,103.870
49,103.887
50,103.933
51,103.968
52,103.991
53,104.009
54,104.020
55,104.032
56,104.046
57,104.070
58,104.093
59,104.123
60,104.154
61,104.188
62,104.213
63,104.227
64,104.252
65,104.270
66,104.305
67,104.343
68,104.374
69,104.403
70,104.432
71,104.447
72,104.461
73,104.481
74,104.507
75,104.530
76,104.548
77,104.600
78,104.649
79,104.687
80,104.721
81,104.744
82,104.773
83,104.791
84,104.808
85,104.819
86,104.828
87,104.837
88,104.858
89,104.874
90,104.897
91,104.926
92,105.014
93,105.053
94,105.221
95,105.344
96,105.395
97,105.626
98,105.697
99,284.310
100,304.434
