Percentage served,Time in ms
0,7.128
1,35.874
2,46.202
3,57.613
4,69.384
5,93.381
6,93.802
7,94.104
8,94.185
9,94.329
10,94.454
11,94.557
12,94.667
13,94.832
14,95.651
15,95.695
16,95.803
17,95.962
18,96.060
19,96.179
20,96.227
21,96.337
22,96.359
23,96.393
24,96.415
25,96.429
26,96.457
27,96.511
28,96.532
29,96.553
30,96.578
31,96.604
32,96.619
33,96.629
34,96.640
35,96.657
36,96.679
37,96.718
38,96.797
39,96.975
40,97.104
41,97.144
42,97.224
43,97.284
44,97.326
45,97.356
46,97.388
47,97.416
48,97.443
49,97.462
50,97.480
51,97.507
52,97.537
53,97.559
54,97.577
55,97.594
56,97.622
57,97.659
58,97.684
59,97.710
60,97.741
61,97.763
62,97.775
63,97.787
64,97.800
65,97.812
66,97.825
67,97.844
68,97.874
69,97.894
70,97.937
71,97.957
72,97.991
73,98.031
74,98.066
75,98.121
76,98.137
77,98.179
78,98.250
79,98.304
80,98.330
81,98.352
82,98.397
83,98.469
84,98.605
85,98.665
86,98.737
87,98.902
88,98.979
89,99.013
90,99.080
91,99.126
92,99.187
93,99.293
94,99.336
95,99.400
96,99.474
97,99.648
98,99.865
99,100.096
100,1135.925
