starttime	seconds	ctime	dtime	ttime	wait
Tue May 21 19:53:06 2024	1716321186	0	3	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	1
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	1
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	1
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
Tue May 21 19:53:06 2024	1716321186	2	1	3	1
Tue May 21 19:53:06 2024	1716321186	2	1	3	0
