Percentage served,Time in ms
0,100.712
1,134.759
2,169.097
3,203.415
4,238.710
5,340.410
6,341.855
7,342.144
8,342.958
9,343.315
10,343.780
11,344.215
12,344.590
13,344.751
14,344.874
15,344.948
16,345.022
17,345.080
18,345.113
19,345.149
20,345.236
21,345.278
22,345.339
23,345.379
24,345.414
25,345.480
26,345.526
27,345.573
28,345.627
29,345.721
30,345.937
31,346.093
32,346.476
33,346.786
34,346.958
35,347.328
36,347.516
37,347.623
38,347.728
39,347.796
40,347.851
41,347.892
42,347.934
43,347.969
44,348.056
45,348.146
46,348.275
47,348.353
48,348.460
49,348.518
50,348.639
51,348.725
52,348.807
53,348.903
54,349.002
55,349.213
56,349.339
57,349.450
58,349.548
59,349.618
60,349.808
61,350.037
62,350.154
63,350.266
64,350.547
65,350.695
66,350.804
67,350.920
68,351.023
69,351.103
70,351.146
71,351.189
72,351.592
73,351.924
74,352.263
75,352.644
76,352.738
77,352.865
78,353.148
79,353.425
80,353.676
81,353.868
82,354.022
83,354.123
84,354.302
85,354.592
86,354.699
87,354.934
88,355.331
89,355.476
90,355.667
91,355.829
92,356.036
93,356.408
94,356.539
95,358.737
96,359.957
97,360.252
98,360.406
99,360.934
100,2401.416
