starttime	seconds	ctime	dtime	ttime	wait
Tue May 21 19:54:21 2024	1716321261	110	39	149	33
Tue May 21 19:54:21 2024	1716321261	9	164	173	164
Tue May 21 19:54:21 2024	1716321261	9	164	173	164
Tue May 21 19:54:21 2024	1716321261	9	164	173	164
Tue May 21 19:54:21 2024	1716321261	9	165	174	165
Tue May 21 19:54:21 2024	1716321261	9	165	174	165
Tue May 21 19:54:21 2024	1716321261	9	165	175	165
Tue May 21 19:54:21 2024	1716321261	9	166	175	166
Tue May 21 19:54:21 2024	1716321261	9	166	176	166
Tue May 21 19:54:21 2024	1716321261	10	166	176	166
Tue May 21 19:54:21 2024	1716321261	10	167	176	167
Tue May 21 19:54:21 2024	1716321261	10	167	177	167
Tue May 21 19:54:21 2024	1716321261	10	168	177	168
Tue May 21 19:54:21 2024	1716321261	10	168	178	168
Tue May 21 19:54:21 2024	1716321261	10	168	178	168
Tue May 21 19:54:21 2024	1716321261	10	169	179	169
Tue May 21 19:54:21 2024	1716321261	10	169	179	169
Tue May 21 19:54:21 2024	1716321261	10	169	180	169
Tue May 21 19:54:21 2024	1716321261	10	170	180	170
Tue May 21 19:54:21 2024	1716321261	10	170	180	170
Tue May 21 19:54:21 2024	1716321261	10	170	181	170
Tue May 21 19:54:21 2024	1716321261	10	171	181	171
Tue May 21 19:54:21 2024	1716321261	11	171	182	171
Tue May 21 19:54:21 2024	1716321261	11	171	182	171
Tue May 21 19:54:21 2024	1716321261	11	172	182	172
Tue May 21 19:54:21 2024	1716321261	11	172	183	172
Tue May 21 19:54:21 2024	1716321261	11	172	183	172
Tue May 21 19:54:21 2024	1716321261	11	173	184	173
Tue May 21 19:54:21 2024	1716321261	11	173	184	173
Tue May 21 19:54:21 2024	1716321261	11	173	185	173
Tue May 21 19:54:21 2024	1716321261	11	174	185	174
Tue May 21 19:54:21 2024	1716321261	11	174	185	174
Tue May 21 19:54:21 2024	1716321261	11	174	186	174
Tue May 21 19:54:21 2024	1716321261	11	175	186	175
Tue May 21 19:54:21 2024	1716321261	12	175	187	175
Tue May 21 19:54:21 2024	1716321261	12	175	187	175
Tue May 21 19:54:21 2024	1716321261	12	176	187	176
Tue May 21 19:54:21 2024	1716321261	12	176	188	176
Tue May 21 19:54:21 2024	1716321261	12	176	188	176
Tue May 21 19:54:21 2024	1716321261	12	177	189	177
Tue May 21 19:54:21 2024	1716321261	12	177	189	177
Tue May 21 19:54:21 2024	1716321261	12	177	190	177
Tue May 21 19:54:21 2024	1716321261	12	178	190	178
Tue May 21 19:54:21 2024	1716321261	12	178	190	178
Tue May 21 19:54:21 2024	1716321261	12	178	191	178
Tue May 21 19:54:21 2024	1716321261	12	179	191	179
Tue May 21 19:54:21 2024	1716321261	13	181	193	181
Tue May 21 19:54:21 2024	1716321261	13	182	195	182
Tue May 21 19:54:21 2024	1716321261	13	183	196	183
Tue May 21 19:54:21 2024	1716321261	13	184	197	184
Tue May 21 19:54:21 2024	1716321261	13	185	198	185
Tue May 21 19:54:21 2024	1716321261	13	187	200	187
Tue May 21 19:54:21 2024	1716321261	13	188	201	188
Tue May 21 19:54:21 2024	1716321261	13	190	204	190
Tue May 21 19:54:21 2024	1716321261	14	191	204	191
Tue May 21 19:54:21 2024	1716321261	14	191	205	191
Tue May 21 19:54:21 2024	1716321261	15	191	206	191
Tue May 21 19:54:21 2024	1716321261	15	193	207	193
Tue May 21 19:54:21 2024	1716321261	15	194	209	194
Tue May 21 19:54:21 2024	1716321261	15	195	210	195
Tue May 21 19:54:21 2024	1716321261	15	196	211	196
Tue May 21 19:54:21 2024	1716321261	15	197	212	197
Tue May 21 19:54:21 2024	1716321261	15	198	213	198
Tue May 21 19:54:21 2024	1716321261	15	198	214	198
Tue May 21 19:54:21 2024	1716321261	16	199	215	199
Tue May 21 19:54:21 2024	1716321261	16	200	216	200
Tue May 21 19:54:21 2024	1716321261	16	201	217	201
Tue May 21 19:54:21 2024	1716321261	16	201	217	201
Tue May 21 19:54:21 2024	1716321261	16	201	218	201
Tue May 21 19:54:21 2024	1716321261	16	202	218	202
Tue May 21 19:54:21 2024	1716321261	16	202	219	202
Tue May 21 19:54:21 2024	1716321261	17	202	219	202
Tue May 21 19:54:21 2024	1716321261	17	202	220	202
Tue May 21 19:54:21 2024	1716321261	18	202	220	202
Tue May 21 19:54:21 2024	1716321261	18	203	220	203
Tue May 21 19:54:21 2024	1716321261	18	203	221	203
Tue May 21 19:54:21 2024	1716321261	18	203	221	203
Tue May 21 19:54:21 2024	1716321261	18	204	222	204
Tue May 21 19:54:21 2024	1716321261	18	204	222	204
Tue May 21 19:54:21 2024	1716321261	18	205	223	205
Tue May 21 19:54:21 2024	1716321261	19	204	223	204
Tue May 21 19:54:21 2024	1716321261	19	204	224	204
Tue May 21 19:54:21 2024	1716321261	19	205	224	205
Tue May 21 19:54:21 2024	1716321261	19	205	225	205
Tue May 21 19:54:21 2024	1716321261	20	205	225	205
Tue May 21 19:54:21 2024	1716321261	20	206	225	206
Tue May 21 19:54:21 2024	1716321261	20	206	226	206
Tue May 21 19:54:21 2024	1716321261	20	206	226	206
Tue May 21 19:54:21 2024	1716321261	21	206	227	206
Tue May 21 19:54:21 2024	1716321261	21	206	227	206
Tue May 21 19:54:21 2024	1716321261	21	206	227	206
Tue May 21 19:54:21 2024	1716321261	21	207	228	207
Tue May 21 19:54:21 2024	1716321261	21	207	228	207
Tue May 21 19:54:21 2024	1716321261	21	208	229	207
Tue May 21 19:54:21 2024	1716321261	21	208	229	208
Tue May 21 19:54:21 2024	1716321261	22	208	230	208
Tue May 21 19:54:21 2024	1716321261	23	207	230	207
Tue May 21 19:54:21 2024	1716321261	23	208	231	207
Tue May 21 19:54:21 2024	1716321261	23	208	231	208
Tue May 21 19:54:21 2024	1716321261	23	208	231	208
Tue May 21 19:54:21 2024	1716321261	23	208	232	208
Tue May 21 19:54:21 2024	1716321261	24	209	232	209
Tue May 21 19:54:21 2024	1716321261	24	209	233	209
Tue May 21 19:54:21 2024	1716321261	24	209	233	209
Tue May 21 19:54:21 2024	1716321261	25	209	234	209
Tue May 21 19:54:21 2024	1716321261	25	209	234	209
Tue May 21 19:54:21 2024	1716321261	25	210	235	210
Tue May 21 19:54:21 2024	1716321261	25	210	235	210
Tue May 21 19:54:21 2024	1716321261	25	210	236	210
Tue May 21 19:54:21 2024	1716321261	25	211	236	211
Tue May 21 19:54:21 2024	1716321261	25	211	236	211
Tue May 21 19:54:21 2024	1716321261	25	211	237	211
Tue May 21 19:54:21 2024	1716321261	26	211	237	211
Tue May 21 19:54:21 2024	1716321261	26	211	238	211
Tue May 21 19:54:21 2024	1716321261	27	211	238	211
Tue May 21 19:54:21 2024	1716321261	27	212	238	212
Tue May 21 19:54:21 2024	1716321261	27	212	239	212
Tue May 21 19:54:21 2024	1716321261	27	212	239	212
Tue May 21 19:54:21 2024	1716321261	27	213	240	213
Tue May 21 19:54:21 2024	1716321261	27	213	240	213
Tue May 21 19:54:21 2024	1716321261	28	212	240	212
Tue May 21 19:54:21 2024	1716321261	28	213	241	213
Tue May 21 19:54:21 2024	1716321261	28	213	241	213
Tue May 21 19:54:21 2024	1716321261	29	213	242	213
Tue May 21 19:54:21 2024	1716321261	29	214	242	214
Tue May 21 19:54:21 2024	1716321261	29	214	243	214
Tue May 21 19:54:21 2024	1716321261	29	214	243	214
Tue May 21 19:54:21 2024	1716321261	29	215	244	215
Tue May 21 19:54:21 2024	1716321261	30	214	244	214
Tue May 21 19:54:21 2024	1716321261	30	214	244	214
Tue May 21 19:54:21 2024	1716321261	30	215	245	215
Tue May 21 19:54:21 2024	1716321261	30	215	245	215
Tue May 21 19:54:21 2024	1716321261	30	215	246	215
Tue May 21 19:54:21 2024	1716321261	31	216	246	216
Tue May 21 19:54:21 2024	1716321261	31	216	247	216
Tue May 21 19:54:21 2024	1716321261	31	216	247	216
Tue May 21 19:54:21 2024	1716321261	32	216	247	216
Tue May 21 19:54:21 2024	1716321261	32	216	248	216
Tue May 21 19:54:21 2024	1716321261	32	216	248	216
Tue May 21 19:54:21 2024	1716321261	32	217	249	217
Tue May 21 19:54:21 2024	1716321261	32	217	249	217
Tue May 21 19:54:21 2024	1716321261	32	217	249	217
Tue May 21 19:54:21 2024	1716321261	33	217	250	217
Tue May 21 19:54:21 2024	1716321261	33	218	250	218
Tue May 21 19:54:21 2024	1716321261	34	217	251	217
Tue May 21 19:54:21 2024	1716321261	34	217	251	217
Tue May 21 19:54:21 2024	1716321261	34	218	252	218
Tue May 21 19:54:21 2024	1716321261	34	218	252	218
Tue May 21 19:54:21 2024	1716321261	34	218	252	218
Tue May 21 19:54:21 2024	1716321261	34	219	253	219
Tue May 21 19:54:21 2024	1716321261	34	219	253	219
Tue May 21 19:54:21 2024	1716321261	35	219	254	219
Tue May 21 19:54:21 2024	1716321261	36	218	254	218
Tue May 21 19:54:21 2024	1716321261	36	220	256	220
Tue May 21 19:54:21 2024	1716321261	38	220	258	220
Tue May 21 19:54:21 2024	1716321261	38	221	259	221
Tue May 21 19:54:21 2024	1716321261	38	221	259	221
Tue May 21 19:54:21 2024	1716321261	38	222	260	222
Tue May 21 19:54:21 2024	1716321261	38	222	260	222
Tue May 21 19:54:21 2024	1716321261	38	222	261	222
Tue May 21 19:54:21 2024	1716321261	40	221	261	221
Tue May 21 19:54:21 2024	1716321261	40	221	261	221
Tue May 21 19:54:21 2024	1716321261	40	222	262	222
Tue May 21 19:54:21 2024	1716321261	40	222	262	222
Tue May 21 19:54:21 2024	1716321261	40	222	263	222
Tue May 21 19:54:21 2024	1716321261	41	223	263	223
Tue May 21 19:54:21 2024	1716321261	41	223	264	223
Tue May 21 19:54:21 2024	1716321261	41	223	264	223
Tue May 21 19:54:21 2024	1716321261	42	222	264	222
Tue May 21 19:54:21 2024	1716321261	42	223	265	223
Tue May 21 19:54:21 2024	1716321261	42	223	265	223
Tue May 21 19:54:21 2024	1716321261	42	223	266	223
Tue May 21 19:54:21 2024	1716321261	42	224	266	224
Tue May 21 19:54:21 2024	1716321261	43	224	267	224
Tue May 21 19:54:21 2024	1716321261	43	224	267	224
Tue May 21 19:54:21 2024	1716321261	43	225	268	225
Tue May 21 19:54:21 2024	1716321261	44	224	268	224
Tue May 21 19:54:21 2024	1716321261	44	224	268	224
Tue May 21 19:54:21 2024	1716321261	44	224	269	224
Tue May 21 19:54:21 2024	1716321261	45	225	269	225
Tue May 21 19:54:21 2024	1716321261	45	225	270	225
Tue May 21 19:54:21 2024	1716321261	45	225	270	225
Tue May 21 19:54:21 2024	1716321261	45	226	271	226
Tue May 21 19:54:21 2024	1716321261	45	226	271	226
Tue May 21 19:54:21 2024	1716321261	46	225	271	225
Tue May 21 19:54:21 2024	1716321261	47	225	272	225
Tue May 21 19:54:21 2024	1716321261	47	226	272	226
Tue May 21 19:54:21 2024	1716321261	47	225	273	225
Tue May 21 19:54:21 2024	1716321261	48	225	273	225
Tue May 21 19:54:21 2024	1716321261	48	226	273	226
Tue May 21 19:54:21 2024	1716321261	48	226	274	226
Tue May 21 19:54:21 2024	1716321261	48	226	274	226
Tue May 21 19:54:21 2024	1716321261	49	225	275	225
Tue May 21 19:54:21 2024	1716321261	49	226	275	226
Tue May 21 19:54:21 2024	1716321261	50	226	276	226
Tue May 21 19:54:21 2024	1716321261	50	226	276	226
Tue May 21 19:54:21 2024	1716321261	50	227	276	227
Tue May 21 19:54:21 2024	1716321261	50	227	277	227
Tue May 21 19:54:21 2024	1716321261	50	227	277	227
Tue May 21 19:54:21 2024	1716321261	50	227	278	227
Tue May 21 19:54:21 2024	1716321261	51	227	278	227
Tue May 21 19:54:21 2024	1716321261	52	227	278	227
Tue May 21 19:54:21 2024	1716321261	52	227	279	227
