starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 13:59:26 2024	1717682366	5	14	19	14
Thu Jun 06 13:59:26 2024	1717682366	5	14	19	14
Thu Jun 06 13:59:26 2024	1717682366	5	14	19	14
Thu Jun 06 13:59:26 2024	1717682366	5	15	19	15
Thu Jun 06 13:59:26 2024	1717682366	5	15	20	15
Thu Jun 06 13:59:26 2024	1717682366	5	15	20	15
Thu Jun 06 13:59:26 2024	1717682366	5	16	20	16
Thu Jun 06 13:59:26 2024	1717682366	5	16	20	16
Thu Jun 06 13:59:26 2024	1717682366	5	16	21	16
Thu Jun 06 13:59:26 2024	1717682366	5	16	21	16
Thu Jun 06 13:59:26 2024	1717682366	5	17	21	17
Thu Jun 06 13:59:26 2024	1717682366	5	17	22	17
Thu Jun 06 13:59:26 2024	1717682366	5	17	22	17
Thu Jun 06 13:59:26 2024	1717682366	5	18	22	18
Thu Jun 06 13:59:26 2024	1717682366	5	18	23	18
Thu Jun 06 13:59:26 2024	1717682366	5	18	23	18
Thu Jun 06 13:59:26 2024	1717682366	5	18	23	18
Thu Jun 06 13:59:26 2024	1717682366	5	19	23	19
Thu Jun 06 13:59:26 2024	1717682366	5	19	24	19
Thu Jun 06 13:59:26 2024	1717682366	5	19	24	19
Thu Jun 06 13:59:26 2024	1717682366	5	20	24	20
Thu Jun 06 13:59:26 2024	1717682366	5	20	25	20
Thu Jun 06 13:59:26 2024	1717682366	5	20	25	20
Thu Jun 06 13:59:26 2024	1717682366	5	20	25	20
Thu Jun 06 13:59:26 2024	1717682366	5	21	25	21
Thu Jun 06 13:59:26 2024	1717682366	5	21	26	21
Thu Jun 06 13:59:26 2024	1717682366	5	22	26	21
Thu Jun 06 13:59:26 2024	1717682366	5	22	26	22
Thu Jun 06 13:59:26 2024	1717682366	5	22	27	22
Thu Jun 06 13:59:26 2024	1717682366	5	22	27	22
Thu Jun 06 13:59:26 2024	1717682366	5	22	27	22
Thu Jun 06 13:59:26 2024	1717682366	5	23	27	23
Thu Jun 06 13:59:26 2024	1717682366	5	23	28	23
Thu Jun 06 13:59:26 2024	1717682366	5	23	28	23
Thu Jun 06 13:59:26 2024	1717682366	5	24	28	24
Thu Jun 06 13:59:26 2024	1717682366	5	24	29	24
Thu Jun 06 13:59:26 2024	1717682366	5	24	29	24
Thu Jun 06 13:59:26 2024	1717682366	5	25	29	25
Thu Jun 06 13:59:26 2024	1717682366	5	25	30	25
Thu Jun 06 13:59:26 2024	1717682366	5	26	30	26
Thu Jun 06 13:59:26 2024	1717682366	5	26	30	26
Thu Jun 06 13:59:26 2024	1717682366	5	26	31	26
Thu Jun 06 13:59:26 2024	1717682366	5	27	31	27
Thu Jun 06 13:59:26 2024	1717682366	5	27	32	27
Thu Jun 06 13:59:26 2024	1717682366	5	27	32	27
Thu Jun 06 13:59:26 2024	1717682366	4	28	32	28
Thu Jun 06 13:59:26 2024	1717682366	4	28	33	28
Thu Jun 06 13:59:26 2024	1717682366	4	28	33	28
Thu Jun 06 13:59:26 2024	1717682366	4	29	33	29
Thu Jun 06 13:59:26 2024	1717682366	4	29	34	29
Thu Jun 06 13:59:26 2024	1717682366	4	29	34	29
Thu Jun 06 13:59:26 2024	1717682366	4	30	34	30
Thu Jun 06 13:59:26 2024	1717682366	4	30	35	30
Thu Jun 06 13:59:26 2024	1717682366	4	31	35	31
Thu Jun 06 13:59:26 2024	1717682366	4	31	35	31
Thu Jun 06 13:59:26 2024	1717682366	4	31	36	31
Thu Jun 06 13:59:26 2024	1717682366	4	32	36	32
Thu Jun 06 13:59:26 2024	1717682366	4	32	37	32
Thu Jun 06 13:59:26 2024	1717682366	4	32	37	32
Thu Jun 06 13:59:26 2024	1717682366	4	33	37	33
Thu Jun 06 13:59:26 2024	1717682366	4	33	38	33
Thu Jun 06 13:59:26 2024	1717682366	4	34	38	34
Thu Jun 06 13:59:26 2024	1717682366	4	34	38	34
Thu Jun 06 13:59:26 2024	1717682366	4	34	39	34
Thu Jun 06 13:59:26 2024	1717682366	4	35	39	35
Thu Jun 06 13:59:26 2024	1717682366	4	35	40	35
Thu Jun 06 13:59:26 2024	1717682366	4	36	40	36
