Percentage served,Time in ms
0,5.836
1,5.879
2,10.417
3,16.869
4,24.128
5,33.831
6,45.259
7,53.012
8,55.374
9,57.935
10,60.893
11,62.692
12,63.858
13,66.472
14,68.246
15,70.680
16,73.105
17,75.189
18,77.672
19,80.069
20,82.393
21,83.220
22,84.945
23,85.764
24,86.785
25,87.972
26,89.561
27,90.393
28,91.408
29,92.580
30,93.832
31,94.556
32,95.575
33,96.920
34,98.015
35,99.256
36,99.714
37,100.104
38,100.517
39,100.830
40,100.865
41,100.935
42,101.301
43,101.774
44,102.358
45,102.674
46,102.826
47,103.052
48,103.346
49,103.531
50,103.683
51,103.892
52,104.128
53,104.263
54,104.318
55,104.362
56,104.388
57,104.405
58,104.432
59,104.471
60,104.552
61,104.637
62,104.667
63,104.721
64,104.760
65,104.799
66,104.891
67,104.948
68,105.052
69,105.203
70,105.429
71,105.528
72,105.799
73,105.917
74,105.961
75,105.991
76,106.073
77,106.158
78,106.192
79,106.243
80,106.295
81,106.338
82,106.389
83,106.457
84,106.527
85,106.794
86,106.967
87,107.070
88,107.390
89,107.443
90,107.526
91,107.582
92,107.696
93,269.898
94,271.501
95,279.520
96,287.400
97,295.447
98,310.061
99,325.390
100,356.175
