Percentage served,Time in ms
0,5.144
1,5.166
2,8.684
3,14.665
4,21.191
5,28.721
6,37.811
7,44.944
8,46.954
9,49.000
10,51.371
11,53.685
12,55.898
13,58.113
14,60.317
15,62.226
16,64.109
17,64.460
18,65.197
19,66.030
20,66.696
21,67.323
22,67.887
23,68.547
24,69.357
25,70.352
26,70.919
27,71.561
28,72.233
29,72.915
30,73.815
31,74.795
32,75.478
33,76.190
34,76.536
35,76.739
36,77.022
37,77.947
38,78.518
39,78.665
40,78.780
41,79.143
42,79.443
43,79.474
44,79.495
45,79.519
46,79.560
47,79.608
48,79.639
49,79.686
50,79.704
51,79.724
52,79.766
53,79.809
54,79.837
55,79.855
56,79.878
57,79.904
58,79.945
59,79.973
60,80.003
61,80.197
62,80.351
63,80.454
64,80.651
65,80.764
66,80.826
67,80.877
68,80.915
69,80.959
70,80.996
71,81.059
72,81.109
73,81.178
74,81.456
75,81.726
76,81.871
77,82.003
78,82.060
79,82.122
80,82.175
81,82.230
82,82.257
83,82.274
84,82.295
85,82.328
86,82.441
87,82.515
88,82.550
89,82.590
90,82.638
91,82.705
92,82.796
93,82.917
94,83.460
95,84.013
96,256.896
97,274.255
98,315.192
99,322.347
100,473.382
