starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 13:59:13 2024	1717682353	0	7	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	0	7	0
Thu Jun 06 13:59:13 2024	1717682353	7	1	8	1
Thu Jun 06 13:59:13 2024	1717682353	7	1	8	1
Thu Jun 06 13:59:13 2024	1717682353	7	1	8	1
Thu Jun 06 13:59:13 2024	1717682353	7	2	8	2
Thu Jun 06 13:59:13 2024	1717682353	7	2	9	2
Thu Jun 06 13:59:13 2024	1717682353	7	2	9	2
Thu Jun 06 13:59:13 2024	1717682353	7	2	9	2
Thu Jun 06 13:59:13 2024	1717682353	7	3	9	3
Thu Jun 06 13:59:13 2024	1717682353	7	3	10	3
Thu Jun 06 13:59:13 2024	1717682353	7	3	10	3
Thu Jun 06 13:59:13 2024	1717682353	7	4	10	4
Thu Jun 06 13:59:13 2024	1717682353	7	4	11	4
Thu Jun 06 13:59:13 2024	1717682353	7	5	11	5
Thu Jun 06 13:59:13 2024	1717682353	7	5	12	5
Thu Jun 06 13:59:13 2024	1717682353	7	6	13	6
Thu Jun 06 13:59:13 2024	1717682353	7	6	13	6
Thu Jun 06 13:59:13 2024	1717682353	7	7	14	7
Thu Jun 06 13:59:13 2024	1717682353	7	8	14	8
Thu Jun 06 13:59:13 2024	1717682353	7	8	15	8
Thu Jun 06 13:59:13 2024	1717682353	7	9	16	9
Thu Jun 06 13:59:13 2024	1717682353	7	10	16	9
Thu Jun 06 13:59:13 2024	1717682353	7	10	17	10
Thu Jun 06 13:59:13 2024	1717682353	7	11	18	11
Thu Jun 06 13:59:13 2024	1717682353	7	12	18	12
Thu Jun 06 13:59:13 2024	1717682353	7	13	19	13
Thu Jun 06 13:59:13 2024	1717682353	7	14	20	14
Thu Jun 06 13:59:13 2024	1717682353	7	14	21	14
Thu Jun 06 13:59:13 2024	1717682353	7	15	22	15
Thu Jun 06 13:59:13 2024	1717682353	7	16	22	16
Thu Jun 06 13:59:13 2024	1717682353	7	16	23	16
Thu Jun 06 13:59:13 2024	1717682353	7	17	24	17
Thu Jun 06 13:59:13 2024	1717682353	7	18	24	18
Thu Jun 06 13:59:13 2024	1717682353	7	19	25	19
Thu Jun 06 13:59:13 2024	1717682353	7	19	26	19
Thu Jun 06 13:59:13 2024	1717682353	7	20	27	20
Thu Jun 06 13:59:13 2024	1717682353	7	21	28	21
Thu Jun 06 13:59:13 2024	1717682353	7	22	28	22
Thu Jun 06 13:59:13 2024	1717682353	7	22	29	22
Thu Jun 06 13:59:13 2024	1717682353	7	23	30	23
Thu Jun 06 13:59:13 2024	1717682353	7	24	30	24
Thu Jun 06 13:59:13 2024	1717682353	7	25	31	25
Thu Jun 06 13:59:13 2024	1717682353	7	26	32	26
Thu Jun 06 13:59:13 2024	1717682353	7	26	33	26
Thu Jun 06 13:59:13 2024	1717682353	7	27	34	27
Thu Jun 06 13:59:13 2024	1717682353	7	28	34	28
Thu Jun 06 13:59:13 2024	1717682353	7	29	35	29
Thu Jun 06 13:59:13 2024	1717682353	7	29	36	29
Thu Jun 06 13:59:13 2024	1717682353	6	30	37	30
Thu Jun 06 13:59:13 2024	1717682353	6	31	38	31
Thu Jun 06 13:59:13 2024	1717682353	6	32	38	32
Thu Jun 06 13:59:13 2024	1717682353	6	33	39	33
Thu Jun 06 13:59:13 2024	1717682353	6	33	40	33
Thu Jun 06 13:59:13 2024	1717682353	6	34	41	34
Thu Jun 06 13:59:13 2024	1717682353	6	35	42	35
Thu Jun 06 13:59:13 2024	1717682353	6	36	43	36
Thu Jun 06 13:59:13 2024	1717682353	6	37	43	37
Thu Jun 06 13:59:13 2024	1717682353	6	38	44	38
Thu Jun 06 13:59:13 2024	1717682353	6	39	45	39
Thu Jun 06 13:59:13 2024	1717682353	6	39	46	39
Thu Jun 06 13:59:13 2024	1717682353	6	40	47	40
Thu Jun 06 13:59:13 2024	1717682353	6	41	47	41
Thu Jun 06 13:59:13 2024	1717682353	6	42	49	42
Thu Jun 06 13:59:13 2024	1717682353	6	43	49	43
Thu Jun 06 13:59:13 2024	1717682353	6	44	50	44
Thu Jun 06 13:59:13 2024	1717682353	6	45	51	45
Thu Jun 06 13:59:13 2024	1717682353	6	46	52	46
Thu Jun 06 13:59:13 2024	1717682353	6	47	53	47
Thu Jun 06 13:59:13 2024	1717682353	6	47	54	47
Thu Jun 06 13:59:13 2024	1717682353	6	48	55	48
Thu Jun 06 13:59:13 2024	1717682353	6	49	56	49
Thu Jun 06 13:59:13 2024	1717682353	6	51	57	51
Thu Jun 06 13:59:13 2024	1717682353	6	52	58	52
Thu Jun 06 13:59:13 2024	1717682353	6	53	59	53
Thu Jun 06 13:59:13 2024	1717682353	6	54	60	54
Thu Jun 06 13:59:13 2024	1717682353	6	55	61	55
Thu Jun 06 13:59:13 2024	1717682353	6	56	62	56
Thu Jun 06 13:59:13 2024	1717682353	6	57	63	57
Thu Jun 06 13:59:13 2024	1717682353	6	58	64	58
Thu Jun 06 13:59:13 2024	1717682353	6	59	65	59
Thu Jun 06 13:59:13 2024	1717682353	6	60	66	60
Thu Jun 06 13:59:13 2024	1717682353	6	61	67	61
Thu Jun 06 13:59:13 2024	1717682353	6	62	68	62
Thu Jun 06 13:59:13 2024	1717682353	6	63	69	63
Thu Jun 06 13:59:13 2024	1717682353	6	64	71	64
Thu Jun 06 13:59:13 2024	1717682353	6	66	72	66
Thu Jun 06 13:59:13 2024	1717682353	6	67	73	67
Thu Jun 06 13:59:13 2024	1717682353	6	68	74	68
Thu Jun 06 13:59:13 2024	1717682353	6	69	76	69
Thu Jun 06 13:59:13 2024	1717682353	6	70	77	70
Thu Jun 06 13:59:13 2024	1717682353	6	72	78	72
Thu Jun 06 13:59:13 2024	1717682353	6	73	79	73
Thu Jun 06 13:59:13 2024	1717682353	6	74	80	74
Thu Jun 06 13:59:13 2024	1717682353	6	75	81	75
Thu Jun 06 13:59:13 2024	1717682353	6	76	82	76
Thu Jun 06 13:59:13 2024	1717682353	6	78	84	78
Thu Jun 06 13:59:13 2024	1717682353	6	79	86	79
Thu Jun 06 13:59:13 2024	1717682353	6	81	87	81
Thu Jun 06 13:59:13 2024	1717682353	6	82	88	82
Thu Jun 06 13:59:13 2024	1717682353	6	83	89	83
Thu Jun 06 13:59:13 2024	1717682353	6	85	91	85
Thu Jun 06 13:59:13 2024	1717682353	6	86	93	86
