Percentage served,Time in ms
0,88.796
1,93.709
2,98.681
3,103.550
4,108.481
5,113.100
6,117.954
7,122.892
8,127.816
9,132.805
10,138.063
11,143.314
12,148.362
13,153.271
14,158.410
15,163.710
16,169.041
17,174.314
18,179.636
19,184.804
20,192.128
21,195.451
22,197.924
23,202.045
24,203.771
25,204.034
26,204.631
27,204.769
28,204.956
29,206.878
30,208.857
31,210.190
32,211.459
33,211.778
34,211.850
35,211.900
36,211.981
37,212.185
38,212.277
39,212.309
40,212.337
41,212.364
42,212.394
43,212.405
44,212.429
45,212.453
46,212.489
47,212.517
48,212.534
49,212.552
50,212.580
51,212.629
52,212.673
53,212.766
54,212.841
55,212.881
56,212.903
57,212.931
58,212.962
59,213.039
60,213.212
61,213.342
62,213.405
63,213.469
64,213.568
65,213.617
66,213.679
67,213.800
68,213.902
69,214.044
70,214.221
71,214.549
72,214.809
73,214.936
74,215.046
75,215.126
76,215.232
77,215.304
78,215.382
79,215.429
80,215.530
81,215.632
82,215.768
83,342.802
84,365.598
85,387.081
86,418.137
87,436.451
88,468.749
89,528.422
90,539.179
91,564.458
92,597.671
93,621.600
94,652.003
95,676.797
96,729.056
97,822.977
98,837.311
99,853.523
100,997.592
