Percentage served,Time in ms
0,5.572
1,6.064
2,6.095
3,10.500
4,16.270
5,22.394
6,28.583
7,35.363
8,42.342
9,45.496
10,47.044
11,48.963
12,50.876
13,52.645
14,53.744
15,54.701
16,55.401
17,56.155
18,57.011
19,58.024
20,58.777
21,59.438
22,60.130
23,60.830
24,61.588
25,62.694
26,64.195
27,64.908
28,65.592
29,66.347
30,67.049
31,67.596
32,68.245
33,68.865
34,69.793
35,70.568
36,71.003
37,71.384
38,71.821
39,72.335
40,72.889
41,73.302
42,73.358
43,73.397
44,73.472
45,73.576
46,73.641
47,73.820
48,73.878
49,73.966
50,74.063
51,74.149
52,74.168
53,74.181
54,74.210
55,74.230
56,74.264
57,74.315
58,74.337
59,74.374
60,74.382
61,74.394
62,74.414
63,74.430
64,74.456
65,74.481
66,74.510
67,74.629
68,74.722
69,74.821
70,75.245
71,75.565
72,75.747
73,75.847
74,75.960
75,76.115
76,76.225
77,76.291
78,76.324
79,76.439
80,76.635
81,76.713
82,76.844
83,77.000
84,77.252
85,77.480
86,77.671
87,77.897
88,78.048
89,78.094
90,78.146
91,78.176
92,78.209
93,78.305
94,78.350
95,78.388
96,78.511
97,251.855
98,253.059
99,302.875
100,318.891
