Percentage served,Time in ms
0,145.365
1,154.309
2,163.326
3,172.398
4,181.094
5,189.908
6,199.092
7,208.368
8,217.696
9,227.056
10,236.792
11,246.288
12,257.904
13,267.888
14,277.737
15,287.318
16,297.118
17,306.866
18,316.528
19,326.052
20,329.768
21,336.017
22,339.304
23,342.645
24,343.589
25,344.128
26,344.550
27,345.095
28,346.227
29,347.916
30,351.120
31,362.083
32,364.908
33,365.574
34,366.146
35,366.492
36,366.651
37,366.865
38,367.124
39,367.460
40,367.591
41,367.775
42,367.987
43,368.249
44,368.450
45,368.608
46,368.650
47,368.810
48,368.975
49,369.415
50,369.703
51,371.156
52,371.511
53,372.232
54,372.850
55,373.253
56,373.636
57,374.207
58,374.658
59,375.148
60,375.878
61,378.101
62,381.526
63,382.143
64,382.618
65,383.228
66,383.700
67,383.747
68,383.805
69,384.029
70,384.329
71,384.423
72,384.519
73,384.590
74,384.711
75,384.989
76,385.134
77,385.948
78,437.202
79,460.933
80,491.651
81,508.709
82,531.382
83,554.402
84,631.512
85,676.452
86,741.898
87,784.645
88,894.134
89,905.715
90,931.293
91,951.980
92,964.836
93,973.679
94,986.608
95,996.342
96,1007.678
97,1058.020
98,1080.888
99,1584.972
100,1695.515
