starttime	seconds	ctime	dtime	ttime	wait
Thu Jun 06 13:59:56 2024	1717682396	12	130	142	130
Thu Jun 06 13:59:56 2024	1717682396	12	131	143	131
Thu Jun 06 13:59:56 2024	1717682396	12	131	143	131
Thu Jun 06 13:59:56 2024	1717682396	12	131	144	131
Thu Jun 06 13:59:56 2024	1717682396	12	132	144	132
Thu Jun 06 13:59:56 2024	1717682396	12	132	144	132
Thu Jun 06 13:59:56 2024	1717682396	12	132	145	132
Thu Jun 06 13:59:56 2024	1717682396	12	133	145	133
Thu Jun 06 13:59:56 2024	1717682396	13	133	145	133
Thu Jun 06 13:59:56 2024	1717682396	13	133	146	133
Thu Jun 06 13:59:56 2024	1717682396	13	133	146	133
Thu Jun 06 13:59:56 2024	1717682396	13	134	146	134
Thu Jun 06 13:59:56 2024	1717682396	13	134	147	134
Thu Jun 06 13:59:56 2024	1717682396	13	134	147	134
Thu Jun 06 13:59:56 2024	1717682396	13	135	148	135
Thu Jun 06 13:59:56 2024	1717682396	13	135	148	135
Thu Jun 06 13:59:56 2024	1717682396	13	135	148	135
Thu Jun 06 13:59:56 2024	1717682396	13	136	149	136
Thu Jun 06 13:59:56 2024	1717682396	13	136	149	136
Thu Jun 06 13:59:56 2024	1717682396	13	136	149	136
Thu Jun 06 13:59:56 2024	1717682396	13	136	150	136
Thu Jun 06 13:59:56 2024	1717682396	13	137	150	137
Thu Jun 06 13:59:56 2024	1717682396	14	137	151	137
Thu Jun 06 13:59:56 2024	1717682396	14	137	151	137
Thu Jun 06 13:59:56 2024	1717682396	14	138	151	138
Thu Jun 06 13:59:56 2024	1717682396	14	138	152	138
Thu Jun 06 13:59:56 2024	1717682396	14	138	152	138
Thu Jun 06 13:59:56 2024	1717682396	14	139	152	139
Thu Jun 06 13:59:56 2024	1717682396	14	139	153	139
Thu Jun 06 13:59:56 2024	1717682396	14	139	153	139
Thu Jun 06 13:59:56 2024	1717682396	14	139	154	139
Thu Jun 06 13:59:56 2024	1717682396	14	140	154	140
Thu Jun 06 13:59:56 2024	1717682396	14	140	154	140
Thu Jun 06 13:59:56 2024	1717682396	14	140	155	140
Thu Jun 06 13:59:56 2024	1717682396	14	141	155	141
Thu Jun 06 13:59:56 2024	1717682396	14	141	155	141
Thu Jun 06 13:59:56 2024	1717682396	15	141	156	141
Thu Jun 06 13:59:56 2024	1717682396	15	142	156	142
Thu Jun 06 13:59:56 2024	1717682396	15	142	157	142
Thu Jun 06 13:59:56 2024	1717682396	15	142	157	142
Thu Jun 06 13:59:56 2024	1717682396	15	142	157	142
Thu Jun 06 13:59:56 2024	1717682396	15	143	158	143
Thu Jun 06 13:59:56 2024	1717682396	15	143	158	143
Thu Jun 06 13:59:56 2024	1717682396	15	143	158	143
Thu Jun 06 13:59:56 2024	1717682396	15	144	159	144
Thu Jun 06 13:59:56 2024	1717682396	15	144	159	144
Thu Jun 06 13:59:56 2024	1717682396	15	144	160	144
Thu Jun 06 13:59:56 2024	1717682396	15	145	160	145
Thu Jun 06 13:59:56 2024	1717682396	15	145	160	145
Thu Jun 06 13:59:56 2024	1717682396	16	145	161	145
Thu Jun 06 13:59:56 2024	1717682396	16	145	161	145
Thu Jun 06 13:59:56 2024	1717682396	16	146	161	146
Thu Jun 06 13:59:56 2024	1717682396	16	146	162	146
Thu Jun 06 13:59:56 2024	1717682396	16	146	162	146
Thu Jun 06 13:59:56 2024	1717682396	16	147	163	147
Thu Jun 06 13:59:56 2024	1717682396	16	147	163	147
Thu Jun 06 13:59:56 2024	1717682396	16	147	163	147
Thu Jun 06 13:59:56 2024	1717682396	16	147	164	147
Thu Jun 06 13:59:56 2024	1717682396	16	148	164	148
Thu Jun 06 13:59:56 2024	1717682396	16	148	164	148
Thu Jun 06 13:59:56 2024	1717682396	16	148	165	148
Thu Jun 06 13:59:56 2024	1717682396	17	149	165	149
Thu Jun 06 13:59:56 2024	1717682396	17	149	166	149
Thu Jun 06 13:59:56 2024	1717682396	17	149	166	149
