starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	0
Thu May 23 14:01:28 2024	1716472888	4	1	4	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	1	5	1
Thu May 23 14:01:28 2024	1716472888	4	2	5	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	2	6	2
Thu May 23 14:01:28 2024	1716472888	4	3	6	3
Thu May 23 14:01:28 2024	1716472888	4	3	7	3
Thu May 23 14:01:28 2024	1716472888	4	3	7	3
Thu May 23 14:01:28 2024	1716472888	4	3	7	3
Thu May 23 14:01:28 2024	1716472888	4	3	7	3
Thu May 23 14:01:28 2024	1716472888	4	3	7	3
Thu May 23 14:01:28 2024	1716472888	4	3	7	3
Thu May 23 14:01:28 2024	1716472888	4	4	7	4
Thu May 23 14:01:28 2024	1716472888	4	4	8	4
Thu May 23 14:01:28 2024	1716472888	4	4	8	4
Thu May 23 14:01:28 2024	1716472888	4	4	8	4
