Percentage served,Time in ms
0,82.676
1,115.708
2,125.380
3,135.073
4,144.836
5,154.674
6,164.930
7,174.537
8,184.527
9,194.243
10,198.630
11,202.485
12,204.690
13,205.592
14,206.471
15,208.846
16,209.548
17,209.767
18,209.906
19,210.125
20,210.350
21,210.473
22,210.601
23,210.825
24,210.927
25,210.979
26,211.027
27,211.069
28,211.117
29,211.165
30,211.242
31,211.410
32,211.575
33,211.736
34,211.872
35,211.997
36,212.091
37,212.192
38,212.390
39,212.475
40,212.549
41,212.634
42,212.735
43,212.832
44,212.901
45,212.962
46,213.083
47,213.248
48,213.410
49,213.534
50,213.880
51,214.110
52,214.287
53,214.487
54,214.671
55,214.907
56,214.976
57,215.062
58,215.120
59,215.196
60,215.340
61,215.664
62,216.063
63,216.658
64,216.784
65,217.068
66,217.234
67,217.590
68,217.677
69,217.901
70,218.017
71,218.180
72,218.282
73,218.383
74,218.457
75,218.604
76,218.700
77,218.931
78,219.323
79,219.695
80,220.106
81,220.332
82,220.453
83,220.694
84,221.172
85,221.962
86,345.420
87,379.876
88,531.429
89,556.045
90,584.746
91,648.581
92,826.151
93,855.759
94,872.595
95,889.156
96,913.772
97,918.647
98,1226.084
99,1564.411
100,1619.564
