Percentage served,Time in ms
0,181.866
1,232.105
2,264.435
3,295.605
4,322.445
5,326.411
6,327.702
7,328.269
8,328.815
9,329.454
10,329.998
11,330.449
12,330.830
13,331.233
14,331.583
15,331.783
16,331.966
17,332.144
18,332.430
19,332.626
20,332.889
21,333.161
22,333.326
23,333.545
24,333.885
25,334.072
26,334.365
27,334.471
28,334.537
29,334.757
30,334.930
31,335.062
32,335.196
33,335.321
34,335.472
35,335.665
36,335.894
37,336.207
38,336.587
39,337.025
40,337.775
41,338.476
42,338.701
43,338.931
44,339.202
45,339.708
46,341.128
47,342.300
48,343.575
49,344.221
50,344.908
51,345.343
52,346.315
53,347.198
54,347.548
55,347.972
56,348.350
57,348.726
58,349.098
59,349.497
60,350.105
61,350.947
62,352.231
63,353.141
64,354.483
65,355.701
66,356.951
67,358.574
68,360.477
69,362.649
70,364.178
71,365.040
72,365.701
73,366.535
74,367.561
75,368.525
76,375.290
77,378.887
78,380.692
79,387.369
80,402.306
81,409.263
82,412.426
83,414.458
84,611.150
85,838.096
86,879.819
87,902.036
88,933.585
89,965.531
90,997.882
91,1036.394
92,1055.794
93,1064.913
94,1340.871
95,1361.532
96,1385.433
97,1672.903
98,1962.767
99,3381.436
100,4453.464
