starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 14:00:09 2024	1716472809	8	14	21	14
Thu May 23 14:00:09 2024	1716472809	8	14	22	14
Thu May 23 14:00:09 2024	1716472809	8	14	22	14
Thu May 23 14:00:09 2024	1716472809	8	15	23	15
Thu May 23 14:00:09 2024	1716472809	8	15	23	15
Thu May 23 14:00:09 2024	1716472809	8	16	24	16
Thu May 23 14:00:09 2024	1716472809	8	16	24	16
Thu May 23 14:00:09 2024	1716472809	8	17	24	17
Thu May 23 14:00:09 2024	1716472809	8	17	25	17
Thu May 23 14:00:09 2024	1716472809	8	17	25	17
Thu May 23 14:00:09 2024	1716472809	8	18	26	18
Thu May 23 14:00:09 2024	1716472809	8	18	26	18
Thu May 23 14:00:09 2024	1716472809	8	19	26	19
Thu May 23 14:00:09 2024	1716472809	8	19	27	19
Thu May 23 14:00:09 2024	1716472809	8	20	27	20
Thu May 23 14:00:09 2024	1716472809	8	20	28	20
Thu May 23 14:00:09 2024	1716472809	8	20	28	20
Thu May 23 14:00:09 2024	1716472809	8	21	28	21
Thu May 23 14:00:09 2024	1716472809	8	21	29	21
Thu May 23 14:00:09 2024	1716472809	8	22	29	22
Thu May 23 14:00:09 2024	1716472809	8	22	30	22
Thu May 23 14:00:09 2024	1716472809	8	23	30	23
Thu May 23 14:00:09 2024	1716472809	8	23	31	23
Thu May 23 14:00:09 2024	1716472809	8	23	31	23
Thu May 23 14:00:09 2024	1716472809	8	24	32	24
Thu May 23 14:00:09 2024	1716472809	8	24	32	24
Thu May 23 14:00:09 2024	1716472809	8	25	33	25
Thu May 23 14:00:09 2024	1716472809	8	25	33	25
Thu May 23 14:00:09 2024	1716472809	8	26	34	26
Thu May 23 14:00:09 2024	1716472809	8	26	34	26
Thu May 23 14:00:09 2024	1716472809	8	27	35	27
Thu May 23 14:00:09 2024	1716472809	8	27	35	27
Thu May 23 14:00:09 2024	1716472809	8	28	35	28
Thu May 23 14:00:09 2024	1716472809	8	28	36	28
Thu May 23 14:00:09 2024	1716472809	8	29	37	29
Thu May 23 14:00:09 2024	1716472809	8	29	37	29
Thu May 23 14:00:09 2024	1716472809	8	30	38	30
Thu May 23 14:00:09 2024	1716472809	8	30	38	30
Thu May 23 14:00:09 2024	1716472809	8	31	39	31
Thu May 23 14:00:09 2024	1716472809	8	31	39	31
Thu May 23 14:00:09 2024	1716472809	8	32	40	32
Thu May 23 14:00:09 2024	1716472809	8	33	40	33
Thu May 23 14:00:09 2024	1716472809	8	33	41	33
Thu May 23 14:00:09 2024	1716472809	8	34	41	34
Thu May 23 14:00:09 2024	1716472809	8	34	42	34
Thu May 23 14:00:09 2024	1716472809	8	35	42	35
Thu May 23 14:00:09 2024	1716472809	8	35	43	35
Thu May 23 14:00:09 2024	1716472809	8	36	43	36
Thu May 23 14:00:09 2024	1716472809	8	36	44	36
Thu May 23 14:00:09 2024	1716472809	8	37	44	37
Thu May 23 14:00:09 2024	1716472809	8	37	45	37
Thu May 23 14:00:09 2024	1716472809	8	38	45	38
Thu May 23 14:00:09 2024	1716472809	8	38	46	38
Thu May 23 14:00:09 2024	1716472809	8	39	46	39
Thu May 23 14:00:09 2024	1716472809	8	39	47	39
Thu May 23 14:00:09 2024	1716472809	8	40	48	40
Thu May 23 14:00:09 2024	1716472809	8	40	48	40
Thu May 23 14:00:09 2024	1716472809	8	41	49	41
Thu May 23 14:00:09 2024	1716472809	8	42	49	42
Thu May 23 14:00:09 2024	1716472809	8	42	50	42
Thu May 23 14:00:09 2024	1716472809	8	43	50	43
Thu May 23 14:00:09 2024	1716472809	8	43	51	43
Thu May 23 14:00:09 2024	1716472809	8	44	51	44
Thu May 23 14:00:09 2024	1716472809	8	44	52	44
Thu May 23 14:00:09 2024	1716472809	8	45	53	45
Thu May 23 14:00:09 2024	1716472809	8	46	53	46
Thu May 23 14:00:09 2024	1716472809	8	46	54	46
Thu May 23 14:00:09 2024	1716472809	30	24	54	16
Thu May 23 14:00:09 2024	1716472809	8	47	54	47
Thu May 23 14:00:09 2024	1716472809	8	47	55	47
Thu May 23 14:00:09 2024	1716472809	8	48	55	48
Thu May 23 14:00:09 2024	1716472809	8	48	56	48
Thu May 23 14:00:09 2024	1716472809	8	49	57	49
Thu May 23 14:00:09 2024	1716472809	8	50	57	50
Thu May 23 14:00:09 2024	1716472809	8	50	58	50
Thu May 23 14:00:09 2024	1716472809	8	51	58	51
Thu May 23 14:00:09 2024	1716472809	8	51	59	51
Thu May 23 14:00:09 2024	1716472809	8	52	60	52
Thu May 23 14:00:09 2024	1716472809	8	53	60	53
Thu May 23 14:00:09 2024	1716472809	8	54	61	54
Thu May 23 14:00:09 2024	1716472809	8	54	62	54
Thu May 23 14:00:09 2024	1716472809	8	55	63	55
Thu May 23 14:00:09 2024	1716472809	8	56	63	56
Thu May 23 14:00:09 2024	1716472809	8	57	64	57
Thu May 23 14:00:09 2024	1716472809	8	58	65	58
Thu May 23 14:00:09 2024	1716472809	8	58	66	58
Thu May 23 14:00:09 2024	1716472809	8	59	67	59
Thu May 23 14:00:09 2024	1716472809	8	60	68	60
Thu May 23 14:00:09 2024	1716472809	8	61	69	61
Thu May 23 14:00:09 2024	1716472809	7	62	69	62
Thu May 23 14:00:09 2024	1716472809	7	63	70	63
Thu May 23 14:00:09 2024	1716472809	7	64	71	64
Thu May 23 14:00:09 2024	1716472809	7	64	72	64
Thu May 23 14:00:09 2024	1716472809	7	65	73	65
Thu May 23 14:00:09 2024	1716472809	7	66	74	66
Thu May 23 14:00:09 2024	1716472809	7	67	74	67
Thu May 23 14:00:09 2024	1716472809	7	68	75	68
Thu May 23 14:00:09 2024	1716472809	7	69	76	69
Thu May 23 14:00:09 2024	1716472809	7	70	77	70
Thu May 23 14:00:09 2024	1716472809	7	71	78	71
Thu May 23 14:00:09 2024	1716472809	7	72	79	72
Thu May 23 14:00:09 2024	1716472809	7	73	80	72
Thu May 23 14:00:09 2024	1716472809	7	73	81	73
Thu May 23 14:00:09 2024	1716472809	7	74	82	74
Thu May 23 14:00:09 2024	1716472809	7	75	83	75
Thu May 23 14:00:09 2024	1716472809	7	76	83	76
Thu May 23 14:00:09 2024	1716472809	7	76	84	76
Thu May 23 14:00:09 2024	1716472809	7	77	84	77
Thu May 23 14:00:09 2024	1716472809	8	76	84	76
Thu May 23 14:00:09 2024	1716472809	8	76	84	76
Thu May 23 14:00:09 2024	1716472809	8	77	84	77
Thu May 23 14:00:09 2024	1716472809	8	77	84	77
Thu May 23 14:00:09 2024	1716472809	8	77	85	77
Thu May 23 14:00:09 2024	1716472809	8	77	85	77
Thu May 23 14:00:09 2024	1716472809	8	77	85	77
Thu May 23 14:00:09 2024	1716472809	8	77	85	77
