Percentage served,Time in ms
0,225.178
1,279.465
2,305.363
3,329.867
4,354.608
5,379.593
6,404.444
7,429.960
8,448.928
9,465.265
10,504.964
11,516.213
12,517.790
13,518.156
14,518.527
15,518.897
16,519.294
17,519.489
18,519.830
19,520.106
20,520.397
21,520.745
22,521.442
23,522.075
24,523.150
25,523.776
26,524.482
27,525.269
28,526.451
29,526.765
30,527.463
31,527.948
32,528.635
33,529.072
34,529.486
35,529.942
36,530.448
37,530.624
38,530.837
39,531.065
40,531.322
41,531.943
42,533.127
43,534.205
44,535.515
45,536.975
46,538.200
47,539.675
48,540.493
49,541.244
50,542.241
51,542.832
52,543.633
53,544.141
54,544.964
55,546.815
56,547.902
57,549.555
58,551.275
59,552.475
60,553.727
61,556.431
62,558.390
63,560.146
64,561.374
65,562.491
66,563.265
67,563.794
68,564.355
69,564.910
70,565.573
71,566.206
72,566.910
73,567.731
74,568.956
75,765.525
76,899.266
77,994.735
78,1026.156
79,1072.898
80,1126.048
81,1164.024
82,1220.015
83,1228.311
84,1237.596
85,1246.562
86,1251.450
87,1253.753
88,1260.105
89,1318.482
90,1538.529
91,1546.489
92,1561.534
93,1591.123
94,1730.272
95,1817.362
96,1941.889
97,2255.718
98,2475.011
99,3564.789
100,4275.989
