starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 13:57:23 2024	1716472643	39	239	278	239
Thu May 23 13:57:23 2024	1716472643	39	240	279	240
Thu May 23 13:57:23 2024	1716472643	39	240	279	240
Thu May 23 13:57:23 2024	1716472643	40	241	281	241
Thu May 23 13:57:23 2024	1716472643	40	241	281	241
Thu May 23 13:57:23 2024	1716472643	40	242	282	242
Thu May 23 13:57:23 2024	1716472643	40	242	282	242
Thu May 23 13:57:23 2024	1716472643	41	241	283	241
Thu May 23 13:57:23 2024	1716472643	41	242	283	242
Thu May 23 13:57:23 2024	1716472643	42	242	284	242
Thu May 23 13:57:23 2024	1716472643	42	242	284	242
Thu May 23 13:57:23 2024	1716472643	42	243	285	243
Thu May 23 13:57:23 2024	1716472643	42	243	285	243
Thu May 23 13:57:23 2024	1716472643	42	244	286	244
Thu May 23 13:57:23 2024	1716472643	42	244	286	244
Thu May 23 13:57:23 2024	1716472643	44	243	287	243
Thu May 23 13:57:23 2024	1716472643	44	243	287	243
Thu May 23 13:57:23 2024	1716472643	44	244	288	244
Thu May 23 13:57:23 2024	1716472643	44	244	288	244
Thu May 23 13:57:23 2024	1716472643	45	244	289	244
Thu May 23 13:57:23 2024	1716472643	45	245	289	245
Thu May 23 13:57:23 2024	1716472643	45	245	290	245
Thu May 23 13:57:23 2024	1716472643	45	245	290	245
Thu May 23 13:57:23 2024	1716472643	47	244	291	244
Thu May 23 13:57:23 2024	1716472643	47	245	292	245
Thu May 23 13:57:23 2024	1716472643	47	245	292	245
Thu May 23 13:57:23 2024	1716472643	47	246	293	246
Thu May 23 13:57:23 2024	1716472643	47	246	293	246
Thu May 23 13:57:23 2024	1716472643	47	246	294	246
Thu May 23 13:57:23 2024	1716472643	48	247	294	247
Thu May 23 13:57:23 2024	1716472643	48	247	295	247
Thu May 23 13:57:23 2024	1716472643	49	246	295	246
Thu May 23 13:57:23 2024	1716472643	49	246	296	246
Thu May 23 13:57:23 2024	1716472643	50	247	296	247
Thu May 23 13:57:23 2024	1716472643	50	247	297	247
