Percentage served,Time in ms
0,8.249
1,23.846
2,51.315
3,89.123
4,98.893
5,108.047
6,118.388
7,127.531
8,137.750
9,147.189
10,152.644
11,154.907
12,155.324
13,155.538
14,155.909
15,156.106
16,156.176
17,156.560
18,156.838
19,157.124
20,157.284
21,157.471
22,157.574
23,157.647
24,158.308
25,159.298
26,159.518
27,159.763
28,160.106
29,160.288
30,160.520
31,160.656
32,160.862
33,161.052
34,161.322
35,162.186
36,162.619
37,162.968
38,163.245
39,163.402
40,163.530
41,163.728
42,163.875
43,164.049
44,164.166
45,164.247
46,164.281
47,164.352
48,164.482
49,164.567
50,164.678
51,164.801
52,164.892
53,165.033
54,165.196
55,165.285
56,165.356
57,165.548
58,165.788
59,166.188
60,166.429
61,166.644
62,166.749
63,167.257
64,167.595
65,168.685
66,169.075
67,169.313
68,169.487
69,169.978
70,170.197
71,170.307
72,170.501
73,170.587
74,170.881
75,171.027
76,171.081
77,171.180
78,171.375
79,172.225
80,173.661
81,173.937
82,174.164
83,174.725
84,174.892
85,175.338
86,175.511
87,175.879
88,179.389
89,319.890
90,346.867
91,400.571
92,456.440
93,477.308
94,654.055
95,811.902
96,823.739
97,841.689
98,862.724
99,1507.543
100,1557.971
