starttime	seconds	ctime	dtime	ttime	wait
Thu May 23 13:53:05 2024	1716472385	9	98	107	98
Thu May 23 13:53:05 2024	1716472385	9	98	107	98
Thu May 23 13:53:05 2024	1716472385	9	98	107	98
Thu May 23 13:53:05 2024	1716472385	9	98	107	98
Thu May 23 13:53:05 2024	1716472385	9	98	107	98
Thu May 23 13:53:05 2024	1716472385	9	99	108	99
Thu May 23 13:53:05 2024	1716472385	9	99	108	99
Thu May 23 13:53:05 2024	1716472385	9	99	108	99
Thu May 23 13:53:05 2024	1716472385	9	99	108	99
Thu May 23 13:53:05 2024	1716472385	9	99	109	99
Thu May 23 13:53:05 2024	1716472385	9	99	109	99
Thu May 23 13:53:05 2024	1716472385	9	100	109	100
Thu May 23 13:53:05 2024	1716472385	9	100	109	100
Thu May 23 13:53:05 2024	1716472385	9	100	109	100
Thu May 23 13:53:05 2024	1716472385	9	100	110	100
Thu May 23 13:53:05 2024	1716472385	10	100	110	100
Thu May 23 13:53:05 2024	1716472385	10	101	110	101
Thu May 23 13:53:05 2024	1716472385	10	101	110	101
Thu May 23 13:53:05 2024	1716472385	10	101	111	101
Thu May 23 13:53:05 2024	1716472385	10	101	111	101
Thu May 23 13:53:05 2024	1716472385	10	101	111	101
Thu May 23 13:53:05 2024	1716472385	10	101	111	101
Thu May 23 13:53:05 2024	1716472385	10	102	111	102
Thu May 23 13:53:05 2024	1716472385	10	102	112	102
Thu May 23 13:53:05 2024	1716472385	10	102	112	102
Thu May 23 13:53:05 2024	1716472385	10	102	112	102
Thu May 23 13:53:05 2024	1716472385	10	102	112	102
Thu May 23 13:53:05 2024	1716472385	10	102	113	102
Thu May 23 13:53:05 2024	1716472385	10	103	113	103
Thu May 23 13:53:05 2024	1716472385	10	103	113	103
Thu May 23 13:53:05 2024	1716472385	10	103	113	103
Thu May 23 13:53:05 2024	1716472385	10	103	113	103
Thu May 23 13:53:05 2024	1716472385	11	103	114	103
Thu May 23 13:53:05 2024	1716472385	11	103	114	103
Thu May 23 13:53:05 2024	1716472385	11	103	114	103
Thu May 23 13:53:05 2024	1716472385	11	103	114	103
Thu May 23 13:53:05 2024	1716472385	11	104	114	104
Thu May 23 13:53:05 2024	1716472385	11	104	115	104
Thu May 23 13:53:05 2024	1716472385	11	104	115	104
Thu May 23 13:53:05 2024	1716472385	11	104	115	104
Thu May 23 13:53:05 2024	1716472385	11	104	115	104
Thu May 23 13:53:05 2024	1716472385	11	104	115	104
Thu May 23 13:53:05 2024	1716472385	11	104	116	104
Thu May 23 13:53:05 2024	1716472385	12	104	116	104
Thu May 23 13:53:05 2024	1716472385	12	105	116	105
Thu May 23 13:53:05 2024	1716472385	12	105	116	105
Thu May 23 13:53:05 2024	1716472385	12	105	117	105
Thu May 23 13:53:05 2024	1716472385	12	105	117	105
Thu May 23 13:53:05 2024	1716472385	12	105	117	105
Thu May 23 13:53:05 2024	1716472385	12	105	117	105
Thu May 23 13:53:05 2024	1716472385	12	105	117	105
Thu May 23 13:53:05 2024	1716472385	12	105	118	105
Thu May 23 13:53:05 2024	1716472385	12	106	118	106
Thu May 23 13:53:05 2024	1716472385	12	106	118	106
Thu May 23 13:53:05 2024	1716472385	12	106	118	106
Thu May 23 13:53:05 2024	1716472385	13	106	119	106
Thu May 23 13:53:05 2024	1716472385	13	106	119	106
Thu May 23 13:53:05 2024	1716472385	13	106	119	106
Thu May 23 13:53:05 2024	1716472385	13	106	119	106
Thu May 23 13:53:05 2024	1716472385	13	106	119	106
Thu May 23 13:53:05 2024	1716472385	13	106	120	106
Thu May 23 13:53:05 2024	1716472385	13	107	120	107
Thu May 23 13:53:05 2024	1716472385	13	107	120	107
Thu May 23 13:53:05 2024	1716472385	13	107	120	107
Thu May 23 13:53:05 2024	1716472385	14	107	121	107
Thu May 23 13:53:05 2024	1716472385	14	107	121	107
Thu May 23 13:53:05 2024	1716472385	14	107	121	107
Thu May 23 13:53:05 2024	1716472385	14	107	121	107
Thu May 23 13:53:05 2024	1716472385	14	107	121	107
Thu May 23 13:53:05 2024	1716472385	14	108	122	108
Thu May 23 13:53:05 2024	1716472385	14	108	122	108
Thu May 23 13:53:05 2024	1716472385	14	108	122	108
Thu May 23 13:53:05 2024	1716472385	15	108	122	108
Thu May 23 13:53:05 2024	1716472385	15	108	123	108
Thu May 23 13:53:05 2024	1716472385	15	108	123	108
Thu May 23 13:53:05 2024	1716472385	15	108	123	108
Thu May 23 13:53:05 2024	1716472385	15	108	123	108
Thu May 23 13:53:05 2024	1716472385	15	108	123	108
Thu May 23 13:53:05 2024	1716472385	15	109	124	109
Thu May 23 13:53:05 2024	1716472385	15	109	124	109
Thu May 23 13:53:05 2024	1716472385	16	108	124	108
Thu May 23 13:53:05 2024	1716472385	16	109	124	109
Thu May 23 13:53:05 2024	1716472385	16	109	124	109
Thu May 23 13:53:05 2024	1716472385	16	109	125	109
Thu May 23 13:53:05 2024	1716472385	16	109	125	109
Thu May 23 13:53:05 2024	1716472385	16	109	125	109
Thu May 23 13:53:05 2024	1716472385	16	109	125	109
Thu May 23 13:53:05 2024	1716472385	16	110	126	110
Thu May 23 13:53:05 2024	1716472385	17	109	126	109
Thu May 23 13:53:05 2024	1716472385	17	109	126	109
Thu May 23 13:53:05 2024	1716472385	17	110	126	110
Thu May 23 13:53:05 2024	1716472385	17	110	126	110
Thu May 23 13:53:05 2024	1716472385	17	110	127	110
Thu May 23 13:53:05 2024	1716472385	17	110	127	110
Thu May 23 13:53:05 2024	1716472385	17	110	127	110
Thu May 23 13:53:05 2024	1716472385	17	110	127	110
Thu May 23 13:53:05 2024	1716472385	18	110	128	110
Thu May 23 13:53:05 2024	1716472385	18	110	128	110
Thu May 23 13:53:05 2024	1716472385	18	110	128	110
Thu May 23 13:53:05 2024	1716472385	18	110	128	110
Thu May 23 13:53:05 2024	1716472385	18	111	128	111
Thu May 23 13:53:05 2024	1716472385	18	111	129	111
Thu May 23 13:53:05 2024	1716472385	18	111	129	111
Thu May 23 13:53:05 2024	1716472385	18	111	129	111
Thu May 23 13:53:05 2024	1716472385	19	111	129	111
