Percentage served,Time in ms
0,113.146
1,149.677
2,163.723
3,177.820
4,192.413
5,209.448
6,224.145
7,238.782
8,253.544
9,269.419
10,291.438
11,293.420
12,295.052
13,295.695
14,295.995
15,296.068
16,296.335
17,296.706
18,296.916
19,297.078
20,297.288
21,297.373
22,297.501
23,298.311
24,299.562
25,300.110
26,301.080
27,301.498
28,301.968
29,302.165
30,302.333
31,302.643
32,302.870
33,303.037
34,303.242
35,303.503
36,303.705
37,304.120
38,304.441
39,304.646
40,305.109
41,305.656
42,306.135
43,306.491
44,307.129
45,307.508
46,307.876
47,308.847
48,309.522
49,309.862
50,310.683
51,312.307
52,313.765
53,315.406
54,316.426
55,317.527
56,318.847
57,320.301
58,321.060
59,321.377
60,321.715
61,322.065
62,322.776
63,323.429
64,323.844
65,324.252
66,324.517
67,324.808
68,325.289
69,325.885
70,326.487
71,326.933
72,327.320
73,327.926
74,328.515
75,329.444
76,332.034
77,333.077
78,333.478
79,333.909
80,334.430
81,334.860
82,335.226
83,335.637
84,416.110
85,494.216
86,520.813
87,810.802
88,837.704
89,862.261
90,880.662
91,916.053
92,939.991
93,968.398
94,1009.634
95,1019.566
96,1308.389
97,1335.520
98,1622.237
99,1676.091
100,2373.982
