starttime	seconds	ctime	dtime	ttime	wait
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	2	0
Wed May 22 17:24:23 2024	1716398663	0	2	2	0
Wed May 22 17:24:23 2024	1716398663	2	0	3	0
Wed May 22 17:24:23 2024	1716398663	2	1	3	1
Wed May 22 17:24:23 2024	1716398663	2	1	3	1
Wed May 22 17:24:23 2024	1716398663	2	2	4	2
Wed May 22 17:24:23 2024	1716398663	2	2	4	2
Wed May 22 17:24:23 2024	1716398663	2	2	5	2
Wed May 22 17:24:23 2024	1716398663	2	3	5	3
Wed May 22 17:24:23 2024	1716398663	2	3	6	3
Wed May 22 17:24:23 2024	1716398663	2	4	6	4
Wed May 22 17:24:23 2024	1716398663	2	4	6	4
Wed May 22 17:24:23 2024	1716398663	2	5	7	5
Wed May 22 17:24:23 2024	1716398663	2	5	7	5
Wed May 22 17:24:23 2024	1716398663	2	6	8	6
Wed May 22 17:24:23 2024	1716398663	2	6	8	6
Wed May 22 17:24:23 2024	1716398663	2	7	9	7
Wed May 22 17:24:23 2024	1716398663	2	7	10	7
Wed May 22 17:24:23 2024	1716398663	2	8	10	8
Wed May 22 17:24:23 2024	1716398663	2	8	11	8
Wed May 22 17:24:23 2024	1716398663	2	9	11	9
Wed May 22 17:24:23 2024	1716398663	2	10	12	10
Wed May 22 17:24:23 2024	1716398663	2	11	13	11
Wed May 22 17:24:23 2024	1716398663	2	11	13	11
Wed May 22 17:24:23 2024	1716398663	2	12	14	12
Wed May 22 17:24:23 2024	1716398663	2	13	15	13
Wed May 22 17:24:23 2024	1716398663	2	14	16	14
Wed May 22 17:24:23 2024	1716398663	2	14	16	14
Wed May 22 17:24:23 2024	1716398663	2	15	17	15
Wed May 22 17:24:23 2024	1716398663	2	16	18	16
Wed May 22 17:24:23 2024	1716398663	2	17	19	17
Wed May 22 17:24:23 2024	1716398663	2	18	20	18
Wed May 22 17:24:23 2024	1716398663	2	19	21	19
Wed May 22 17:24:23 2024	1716398663	2	20	22	20
Wed May 22 17:24:23 2024	1716398663	2	21	23	21
Wed May 22 17:24:23 2024	1716398663	2	22	24	22
Wed May 22 17:24:23 2024	1716398663	2	23	25	23
Wed May 22 17:24:23 2024	1716398663	2	24	26	24
Wed May 22 17:24:23 2024	1716398663	2	25	27	25
Wed May 22 17:24:23 2024	1716398663	2	26	28	26
Wed May 22 17:24:23 2024	1716398663	2	27	29	27
Wed May 22 17:24:23 2024	1716398663	2	28	30	28
Wed May 22 17:24:23 2024	1716398663	2	30	32	30
Wed May 22 17:24:23 2024	1716398663	2	31	33	31
Wed May 22 17:24:23 2024	1716398663	2	32	34	32
Wed May 22 17:24:23 2024	1716398663	2	33	35	33
Wed May 22 17:24:23 2024	1716398663	2	34	36	34
Wed May 22 17:24:23 2024	1716398663	2	36	38	36
Wed May 22 17:24:23 2024	1716398663	2	37	39	37
Wed May 22 17:24:23 2024	1716398663	2	38	40	38
Wed May 22 17:24:23 2024	1716398663	2	40	42	40
Wed May 22 17:24:23 2024	1716398663	2	41	43	41
Wed May 22 17:24:23 2024	1716398663	2	43	45	43
Wed May 22 17:24:23 2024	1716398663	2	46	48	46
Wed May 22 17:24:23 2024	1716398663	2	47	49	47
Wed May 22 17:24:23 2024	1716398663	2	48	50	48
Wed May 22 17:24:23 2024	1716398663	2	48	50	48
Wed May 22 17:24:23 2024	1716398663	2	48	50	48
Wed May 22 17:24:23 2024	1716398663	2	48	51	48
Wed May 22 17:24:23 2024	1716398663	2	49	51	49
Wed May 22 17:24:23 2024	1716398663	2	49	51	49
Wed May 22 17:24:23 2024	1716398663	2	49	51	49
Wed May 22 17:24:23 2024	1716398663	3	49	51	49
Wed May 22 17:24:23 2024	1716398663	3	49	52	49
Wed May 22 17:24:23 2024	1716398663	3	49	52	49
Wed May 22 17:24:23 2024	1716398663	3	49	52	49
Wed May 22 17:24:23 2024	1716398663	3	50	52	50
Wed May 22 17:24:23 2024	1716398663	3	50	52	50
Wed May 22 17:24:23 2024	1716398663	3	50	53	50
Wed May 22 17:24:23 2024	1716398663	3	50	53	50
Wed May 22 17:24:23 2024	1716398663	3	50	53	50
Wed May 22 17:24:23 2024	1716398663	3	50	53	50
Wed May 22 17:24:23 2024	1716398663	3	50	53	50
Wed May 22 17:24:23 2024	1716398663	3	50	53	50
Wed May 22 17:24:23 2024	1716398663	3	51	54	51
Wed May 22 17:24:23 2024	1716398663	3	51	54	51
Wed May 22 17:24:23 2024	1716398663	3	51	54	51
Wed May 22 17:24:23 2024	1716398663	3	51	54	51
Wed May 22 17:24:23 2024	1716398663	3	51	54	51
Wed May 22 17:24:23 2024	1716398663	3	51	55	51
Wed May 22 17:24:23 2024	1716398663	3	51	55	51
Wed May 22 17:24:23 2024	1716398663	3	52	55	52
Wed May 22 17:24:23 2024	1716398663	3	52	55	52
Wed May 22 17:24:23 2024	1716398663	3	52	55	52
Wed May 22 17:24:23 2024	1716398663	4	52	55	52
Wed May 22 17:24:23 2024	1716398663	4	52	56	52
Wed May 22 17:24:23 2024	1716398663	4	52	56	52
Wed May 22 17:24:23 2024	1716398663	4	52	56	52
Wed May 22 17:24:23 2024	1716398663	4	53	56	53
Wed May 22 17:24:23 2024	1716398663	4	53	56	53
Wed May 22 17:24:23 2024	1716398663	4	53	57	53
Wed May 22 17:24:23 2024	1716398663	4	53	57	53
Wed May 22 17:24:23 2024	1716398663	4	53	57	53
Wed May 22 17:24:23 2024	1716398663	4	53	57	53
Wed May 22 17:24:23 2024	1716398663	4	54	57	54
Wed May 22 17:24:23 2024	1716398663	4	54	58	54
Wed May 22 17:24:23 2024	1716398663	4	54	58	54
Wed May 22 17:24:23 2024	1716398663	4	54	58	54
Wed May 22 17:24:23 2024	1716398663	4	54	58	54
Wed May 22 17:24:23 2024	1716398663	4	54	58	54
Wed May 22 17:24:23 2024	1716398663	4	54	59	54
Wed May 22 17:24:23 2024	1716398663	4	55	59	55
Wed May 22 17:24:23 2024	1716398663	4	55	59	55
Wed May 22 17:24:23 2024	1716398663	4	55	59	55
Wed May 22 17:24:23 2024	1716398663	4	55	59	55
Wed May 22 17:24:23 2024	1716398663	4	55	60	55
Wed May 22 17:24:23 2024	1716398663	5	55	60	55
Wed May 22 17:24:23 2024	1716398663	5	55	60	55
Wed May 22 17:24:23 2024	1716398663	5	56	60	56
Wed May 22 17:24:23 2024	1716398663	5	56	60	56
Wed May 22 17:24:23 2024	1716398663	5	56	61	56
Wed May 22 17:24:23 2024	1716398663	5	56	61	56
Wed May 22 17:24:23 2024	1716398663	5	56	61	56
Wed May 22 17:24:23 2024	1716398663	5	56	61	56
Wed May 22 17:24:23 2024	1716398663	5	56	61	56
Wed May 22 17:24:23 2024	1716398663	5	56	61	56
Wed May 22 17:24:23 2024	1716398663	5	57	62	57
Wed May 22 17:24:23 2024	1716398663	5	57	62	57
Wed May 22 17:24:23 2024	1716398663	5	57	62	57
Wed May 22 17:24:23 2024	1716398663	5	57	62	57
Wed May 22 17:24:23 2024	1716398663	5	58	63	58
Wed May 22 17:24:23 2024	1716398663	5	58	63	58
Wed May 22 17:24:23 2024	1716398663	5	58	64	58
Wed May 22 17:24:23 2024	1716398663	5	58	64	58
Wed May 22 17:24:23 2024	1716398663	5	59	64	59
Wed May 22 17:24:23 2024	1716398663	6	59	64	59
Wed May 22 17:24:23 2024	1716398663	6	59	64	59
Wed May 22 17:24:23 2024	1716398663	6	59	65	59
Wed May 22 17:24:23 2024	1716398663	6	59	65	59
Wed May 22 17:24:23 2024	1716398663	6	59	65	59
Wed May 22 17:24:23 2024	1716398663	6	59	65	59
Wed May 22 17:24:23 2024	1716398663	6	59	65	59
Wed May 22 17:24:23 2024	1716398663	6	60	66	60
Wed May 22 17:24:23 2024	1716398663	6	60	66	60
Wed May 22 17:24:23 2024	1716398663	6	60	66	60
Wed May 22 17:24:23 2024	1716398663	6	60	66	60
Wed May 22 17:24:23 2024	1716398663	6	60	66	60
Wed May 22 17:24:23 2024	1716398663	6	60	67	60
Wed May 22 17:24:23 2024	1716398663	6	61	67	61
