Percentage served,Time in ms
0,199.819
1,241.082
2,265.408
3,289.420
4,313.638
5,337.980
6,363.088
7,388.914
8,411.146
9,428.265
10,453.538
11,456.167
12,456.920
13,457.666
14,458.150
15,458.767
16,459.403
17,460.101
18,460.744
19,461.323
20,462.496
21,462.860
22,463.231
23,463.526
24,463.789
25,464.128
26,464.442
27,464.742
28,464.963
29,465.212
30,465.409
31,465.651
32,465.881
33,466.152
34,466.413
35,466.618
36,466.742
37,466.911
38,467.129
39,467.293
40,467.490
41,467.777
42,468.067
43,468.368
44,468.583
45,468.768
46,469.233
47,470.804
48,471.660
49,472.425
50,473.017
51,473.859
52,476.907
53,480.049
54,482.028
55,483.423
56,484.555
57,485.202
58,485.815
59,486.474
60,487.068
61,488.342
62,496.162
63,500.765
64,502.636
65,503.850
66,504.241
67,505.023
68,505.714
69,506.600
70,508.436
71,510.190
72,512.838
73,515.749
74,521.483
75,524.547
76,525.812
77,526.578
78,559.825
79,609.213
80,681.993
81,792.814
82,874.676
83,977.619
84,1067.176
85,1115.293
86,1156.811
87,1165.315
88,1169.939
89,1175.487
90,1185.871
91,1192.797
92,1197.589
93,1309.571
94,1480.763
95,1527.001
96,1809.058
97,2224.624
98,2555.649
99,3559.629
100,4665.528
